NELEC	10
ENUC	11.406077
NBASIS	13

OEI
2.489683	
5 4 4 3 0.0024756
5 4 4 4 -0.0125723
5 4 5 0 0.0001418
5 4 5 1 -0.0005170
5 4 5 2 0.0076338
5 4 5 3 0.0040580
5 4 5 4 -0.0014627
5 4 5 5 0.0546324
5 5 0 0 0.5985236
5 5 1 0 -0.0068501
5 5 1 1 0.5016646
5 5 2 0 0.0085576
5 5 2 1 0.0033522
5 5 2 2 0.3379319
5 5 3 0 0.0004109
5 5 3 1 0.0119444
5 5 3 2 0.0072431
5 5 3 3 0.3087837
5 5 4 0 -0.0020212
5 5 4 1 -0.0121454
5 5 4 2 -0.0208773
5 5 4 3 0.0055827
5 5 4 4 0.2745637
5 5 5 0 0.0097969
5 5 5 1 0.0403699
5 5 5 2 -0.0282058
5 5 5 3 0.0321775
5 5 5 4 0.0546324
5 5 5 5 1.6919429
6 0 0 0 -0.1947313
6 0 1 0 0.0276635
6 0 1 1 -0.0112548
6 0 2 0 -0.0036881
6 0 2 1 0.0006499
6 0 2 2 -0.0078269
6 0 3 0 -0.0007668
6 0 3 1 0.0005264
6 0 3 2 0.0006137
6 0 3 3 -0.0026700
6 0 4 0 -0.0052823
6 0 4 1 0.0021547
6 0 4 2 0.0004263
6 0 4 3 -0.0000990
6 0 4 4 -0.0038333
6 0 5 0 0.0004584
6 0 5 1 -0.0006775
6 0 5 2 -0.0022772
6 0 5 3 0.0004988
6 0 5 4 -0.0003162
6 0 5 5 -0.0052598
6 0 6 0 0.0161712
6 0 6 1 -0.0002852
6 0 6 2 -0.0033350
6 0 6 3 -0.0010462
6 0 6 4 0.0013627
6 0 6 5 -0.0019407
6 0 6 6 -0.0106992
6 1 0 0 0.0246400
6 1 1 0 -0.0068738
6 1 1 1 -0.0611205
6 1 2 0 0.0027137
6 1 2 1 -0.0265888
6 1 2 2 0.0027584
6 1 3 0 0.0005207
6 1 3 1 0.0207050
6 1 3 2 0.0237563
6 1 3 3 -0.0487041
6 1 4 0 0.0012654
6 1 4 1 -0.0178446
6 1 4 2 -0.0314115
6 1 4 3 0.0124560
6 1 4 4 0.0443617
6 1 5 0 0.0008827
6 1 5 1 -0.0077622
6 1 5 2 0.0116278
6 1 5 3 0.0261523
6 1 5 4 -0.0083803
6 1 5 5 0.0056986
6 1 6 0 -0.0002852
6 1 6 1 0.0721746
6 1 6 2 0.0923059
6 1 6 3 -0.0803660
6 1 6 4 0.0575985
6 1 6 5 0.0218540
6 1 6 6 -0.0896431
6 2 0 0 0.2375588
6 2 1 0 -0.0018661
6 2 1 1 0.1214812
6 2 2 0 -0.0054818
6 2 2 1 -0.0261580
6 2 2 2 0.0782861
6 2 3 0 0.0008585
6 2 3 1 0.0205404
6 2 3 2 0.0052786
6 2 3 3 0.0983627
6 2 4 0 0.0000019
6 2 4 1 -0.0167689
6 2 4 2 0.0237021
6 2 4 3 0.0108799
6 2 4 4 0.0885177
6 2 5 0 -0.0030605
6 2 5 1 -0.0010674
6 2 5 2 -0.0379396
6 2 5 3 0.0025010
6 2 5 4 0.0053588
6 2 5 5 -0.0655230
6 2 6 0 -0.0033350
6 2 6 1 0.0923059
6 2 6 2 0.0224175
6 2 6 3 -0.0525233
6 2 6 4 0.0039085
6 2 6 5 0.0172206
6 2 6 6 -0.1700215
6 3 0 0 -0.0595330
6 3 1 0 0.0004894
6 3 1 1 -0.0124640
6 3 2 0 0.0035080
6 3 2 1 0.0276289
6 3 2 2 -0.0363025
6 3 3 0 0.0005848
6 3 3 1 -0.0305611
6 3 3 2 -0.0196792
6 3 3 3 -0.0431772
6 3 4 0 -0.0013678
6 3 4 1 0.0049397
6 3 4 2 0.0014810
6 3 4 3 -0.0127493
6 3 4 4 -0.0465987
6 3 5 0 0.0031041
6 3 5 1 0.0206197
6 3 5 2 0.0163674
6 3 5 3 -0.0075224
6 3 5 4 0.0016954
6 3 5 5 0.0436028
6 3 6 0 -0.0010462
6 3 6 1 -0.0803660
6 3 6 2 -0.0525233
6 3 6 3 0.0876400
6 3 6 4 -0.0216722
6 3 6 5 -0.0294251
6 3 6 6 0.2312953
