-------- parallel information --------
 # of process = 1
 # of threads = 24
 Buffer size  = 4096 (MB)
-------- input information -----------
 Input   = ./samples/O2.inp
--------------------------------------
nat = 2
=============== INPUT DATA (A) ================
 O     0.00000     0.00000     0.00000
 O     0.00000     0.00000     1.20800
===============================================
nelec = 16,  nocc = 8
nat=2, ncs=6, nao=10, nps=18
S-TYPE: [  0,   4)
P-TYPE: [  4,   6)
== allocd memory size in ofmo-scf.c =      0.005 MB
ncspair = 21, npspair = 189 
******************** cutoff results **********************
      :     NCS PAIR                   NPS PAIR           
cstype: surved/ total (  rate)     surved/   total (  rate)
 (S|S):     10/    10 (100.00)         87/      90 ( 96.67)
 (P|S):      8/     8 (100.00)         72/      72 (100.00)
 (P|P):      3/     3 (100.00)         27/      27 (100.00)
**********************************************************
etime (buffer int2e) =  0.009054
Enuc =     28.0358807544
scfd scfe eps_ps4 eps_sch eps_eri: 1.00e-05 1.00e-08 1.00e-20 1.00e-12 1.00e-15
Allocated memory in ofmo_diis =    0.008 MB
g_incore: 100000
AO : 8 8 6 6 | 0.440420
AO : 9 7 6 4 | -0.008808
AO : 9 8 6 5 | -0.008808
AO : 9 9 4 4 | 0.440420
AO : 9 9 5 5 | 0.440420
AO : 9 9 6 6 | 0.505732
AO : 7 7 7 4 | 0.092303
AO : 8 5 7 7 | 0.085619
AO : 9 6 7 7 | -0.208534
AO : 8 7 7 5 | 0.003342
AO : 8 7 8 4 | 0.003342
AO : 8 8 7 4 | 0.085619
AO : 8 8 8 5 | 0.092303
AO : 9 6 8 8 | -0.208534
AO : 9 7 7 6 | -0.009990
AO : 9 7 9 4 | 0.009343
AO : 9 8 8 6 | -0.009990
AO : 9 8 9 5 | 0.009343
AO : 9 9 7 4 | 0.091620
AO : 9 9 8 5 | 0.091620
AO : 9 9 9 6 | -0.242648
AO : 7 7 7 7 | 0.880159
AO : 8 7 8 7 | 0.047444
AO : 8 8 7 7 | 0.785270
AO : 8 8 8 8 | 0.880159
AO : 9 7 9 7 | 0.047444
AO : 9 8 9 8 | 0.047444
AO : 9 9 7 7 | 0.785270
AO : 9 9 8 8 | 0.785270
AO : 9 9 9 9 | 0.880159
AO : 6 1 2 0 | 0.000000
AO : 6 1 2 1 | 0.002989
AO : 6 1 2 2 | 0.120731
AO : 6 1 3 0 | 0.001611
AO : 6 1 3 1 | 0.039399
AO : 6 1 3 2 | 0.028433
AO : 6 1 3 3 | 0.107310
AO : 3 2 2 0 | 0.000000
AO : 3 2 0 0 | 0.103691
AO : 3 2 1 0 | 0.024544
AO : 3 2 1 1 | 0.103324
AO : 3 2 2 1 | 0.013201
AO : 3 2 2 2 | 0.741380
AO : 3 2 3 0 | 0.002483
AO : 3 2 3 1 | 0.050370
AO : 3 2 3 2 | 0.136873
AO : 4 2 4 0 | 0.000005
AO : 5 2 5 0 | 0.000005
AO : 6 2 6 0 | 0.000412
AO : 4 2 4 1 | 0.000064
AO : 5 2 5 1 | 0.000064
AO : 6 2 6 1 | 0.005024
AO : 4 2 4 2 | 0.000006
AO : 5 2 5 2 | 0.000006
AO : 6 2 6 2 | 0.003724
AO : 1 1 2 0 | 0.000000
AO : 1 1 0 0 | 1.118947
AO : 1 1 1 0 | 0.256633
AO : 1 1 1 1 | 0.817206
AO : 3 0 0 0 | 0.071913
AO : 3 0 1 0 | 0.013201
AO : 3 0 1 1 | 0.024722
AO : 3 0 2 1 | 0.000252
AO : 3 0 2 2 | 0.010490
AO : 3 0 3 0 | 0.001305
AO : 4 0 4 0 | 0.024477
AO : 5 0 5 0 | 0.024477
AO : 6 0 6 0 | 0.024477
AO : 7 2 4 0 | 0.000217
AO : 8 2 5 0 | 0.000217
AO : 9 2 6 0 | -0.000434
AO : 7 2 4 1 | 0.002675
AO : 8 2 5 1 | 0.002675
AO : 9 2 6 1 | -0.004915
AO : 7 2 4 2 | 0.000354
AO : 8 2 5 2 | 0.000354
AO : 9 2 6 2 | -0.001326
AO : 7 2 4 3 | 0.002219
AO : 8 2 5 3 | 0.002219
AO : 9 2 6 3 | -0.006676
AO : 7 2 7 0 | 0.000005
AO : 8 2 8 0 | 0.000005
AO : 9 2 9 0 | 0.000412
AO : 7 2 7 1 | 0.004469
AO : 8 2 8 1 | 0.004469
AO : 9 2 9 1 | 0.008132
AO : 7 2 7 2 | 0.024477
AO : 8 2 8 2 | 0.024477
AO : 9 2 9 2 | 0.024477
AO : 6 3 2 0 | 0.000000
AO : 6 3 0 0 | 0.214412
AO : 6 3 1 0 | 0.050493
AO : 6 3 1 1 | 0.192918
AO : 6 3 2 1 | 0.006883
AO : 6 3 2 2 | 0.293385
AO : 6 3 3 0 | 0.005256
AO : 6 3 3 1 | 0.072187
AO : 6 3 3 2 | 0.068117
AO : 6 3 3 3 | 0.237650
AO : 7 4 4 4 | 0.092303
AO : 7 4 5 5 | 0.085619
AO : 7 4 6 6 | 0.091620
AO : 7 5 5 4 | 0.003342
AO : 7 6 6 4 | 0.009343
AO : 8 4 5 4 | 0.003342
AO : 8 5 4 4 | 0.085619
AO : 8 5 5 5 | 0.092303
AO : 8 5 6 6 | 0.091620
AO : 8 6 6 5 | 0.009343
AO : 9 4 6 4 | -0.009990
AO : 9 5 6 5 | -0.009990
AO : 9 6 4 4 | -0.208534
AO : 9 6 5 5 | -0.208534
AO : 9 6 6 6 | -0.242648
AO : 7 4 7 4 | 0.015466
AO : 7 5 7 5 | 0.000790
AO : 7 6 7 6 | 0.011968
AO : 8 4 7 5 | 0.000790
AO : 8 4 8 4 | 0.000790
AO : 8 5 7 4 | 0.013886
AO : 8 5 8 5 | 0.015466
AO : 8 6 8 6 | 0.011968
AO : 9 4 7 6 | -0.008470
AO : 9 4 9 4 | 0.011968
AO : 9 5 8 6 | -0.008470
AO : 9 5 9 5 | 0.011968
AO : 9 6 7 4 | -0.036951
AO : 9 6 8 5 | -0.036951
AO : 9 6 9 6 | 0.116882
AO : 1 0 2 0 | 0.000000
AO : 1 0 0 0 | 0.741380
AO : 1 0 1 0 | 0.136873
AO : 4 4 2 0 | 0.000000
AO : 5 5 2 0 | 0.000000
AO : 6 6 2 0 | 0.000000
AO : 4 4 0 0 | 1.115814
AO : 5 5 0 0 | 1.115814
AO : 6 6 0 0 | 1.115814
AO : 4 4 1 0 | 0.256684
AO : 5 5 1 0 | 0.256684
AO : 6 6 1 0 | 0.256684
AO : 4 4 1 1 | 0.817023
AO : 5 5 1 1 | 0.817023
AO : 6 6 1 1 | 0.817023
AO : 4 4 2 1 | 0.009834
AO : 5 5 2 1 | 0.009834
AO : 6 6 2 1 | 0.011616
AO : 4 4 2 2 | 0.413162
AO : 5 5 2 2 | 0.413162
AO : 6 6 2 2 | 0.483457
AO : 4 4 3 0 | 0.024647
AO : 5 5 3 0 | 0.024647
AO : 6 6 3 0 | 0.024875
AO : 4 4 3 1 | 0.177682
AO : 5 5 3 1 | 0.177682
AO : 6 6 3 1 | 0.191420
AO : 4 4 3 2 | 0.097795
AO : 5 5 3 2 | 0.097795
AO : 6 6 3 2 | 0.114194
AO : 4 4 3 3 | 0.410553
AO : 5 5 3 3 | 0.410553
AO : 6 6 3 3 | 0.462331
AO : 3 1 2 0 | 0.000000
AO : 3 1 0 0 | 0.216116
AO : 3 1 1 0 | 0.050370
AO : 3 1 1 1 | 0.182323
AO : 3 1 2 1 | 0.005090
AO : 3 1 2 2 | 0.216116
AO : 3 1 3 0 | 0.005090
AO : 3 1 3 1 | 0.059434
AO : 4 1 4 0 | 0.037809
AO : 5 1 5 0 | 0.037809
AO : 6 1 6 0 | 0.037809
AO : 4 1 4 1 | 0.180518
AO : 5 1 5 1 | 0.180518
AO : 6 1 6 1 | 0.180518
AO : 7 4 2 0 | 0.000000
AO : 8 5 2 0 | 0.000000
AO : 9 6 2 0 | -0.000000
AO : 7 4 0 0 | 0.099130
AO : 8 5 0 0 | 0.099130
AO : 9 6 0 0 | -0.253265
AO : 7 4 1 0 | 0.023356
AO : 8 5 1 0 | 0.023356
AO : 9 6 1 0 | -0.059544
AO : 7 4 1 1 | 0.089882
AO : 8 5 1 1 | 0.089882
AO : 9 6 1 1 | -0.219986
AO : 7 4 2 1 | 0.002336
AO : 8 5 2 1 | 0.002336
AO : 9 6 2 1 | -0.006296
AO : 7 4 2 2 | 0.099130
AO : 8 5 2 2 | 0.099130
AO : 9 6 2 2 | -0.253265
AO : 7 4 3 0 | 0.002336
AO : 8 5 3 0 | 0.002336
AO : 9 6 3 0 | -0.006296
AO : 7 4 3 1 | 0.028923
AO : 8 5 3 1 | 0.028923
AO : 9 6 3 1 | -0.079250
AO : 7 4 3 2 | 0.023356
AO : 8 5 3 2 | 0.023356
AO : 9 6 3 2 | -0.059544
AO : 7 4 3 3 | 0.089882
AO : 8 5 3 3 | 0.089882
AO : 9 6 3 3 | -0.219986
AO : 9 2 0 0 | -0.009747
AO : 9 2 1 0 | -0.002307
AO : 9 2 1 1 | -0.009438
AO : 9 2 2 1 | -0.000851
AO : 9 2 3 0 | -0.000245
AO : 9 2 3 1 | -0.004921
AO : 7 4 6 0 | 0.001801
AO : 7 6 4 0 | 0.001801
AO : 8 5 6 0 | 0.001801
AO : 8 6 5 0 | 0.001801
AO : 9 4 4 0 | -0.006914
AO : 9 5 5 0 | -0.006914
