NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-21.181947
ENERGIES
-6.497853
-0.129495
0.214046
0.476383
1.186262
1.638081
1.758235
849737.128079
965066.796748
996478.623491
1070620.946780
1118094.572082

OEI
-13.314136	
4 3 4 3 0.1595066
4 3 4 4 0.0409529
4 4 0 0 0.6494121
4 4 1 0 0.0046761
4 4 1 1 0.4757184
4 4 2 0 0.0000000
4 4 2 1 -0.0000000
4 4 2 2 0.4643800
4 4 3 0 0.0003539
4 4 3 1 0.0014166
4 4 3 2 0.0000000
4 4 3 3 0.5101130
4 4 4 0 0.0004181
4 4 4 1 -0.0184747
4 4 4 2 -0.0000000
4 4 4 3 0.0409529
4 4 4 4 0.5163220
5 0 0 0 -0.0000000
5 0 1 0 -0.0000000
5 0 1 1 0.0000000
5 0 2 0 -0.0121952
5 0 2 1 0.0160734
5 0 2 2 0.0000000
5 0 3 0 0.0000000
5 0 3 1 0.0000000
5 0 3 2 -0.0140118
5 0 3 3 -0.0000000
5 0 4 0 0.0000000
5 0 4 1 -0.0000000
5 0 4 2 0.0029369
5 0 4 3 -0.0000000
5 0 4 4 -0.0000000
5 0 5 0 0.0271185
5 0 5 1 -0.0031938
5 0 5 2 0.0000000
5 0 5 3 0.0107307
5 0 5 4 0.0146842
5 0 5 5 0.0000000
5 1 0 0 -0.0000000
5 1 1 0 -0.0000000
5 1 1 1 -0.0000000
5 1 2 0 0.0025504
5 1 2 1 0.0423280
5 1 2 2 0.0000000
5 1 3 0 0.0000000
5 1 3 1 0.0000000
5 1 3 2 -0.0244090
5 1 3 3 -0.0000000
5 1 4 0 0.0000000
5 1 4 1 -0.0000000
5 1 4 2 0.0413088
5 1 4 3 -0.0000000
5 1 4 4 -0.0000000
5 1 5 0 -0.0031938
5 1 5 1 0.0354162
5 1 5 2 0.0000000
5 1 5 3 -0.0231199
5 1 5 4 0.0287350
5 1 5 5 -0.0000000
5 2 0 0 -0.2197519
5 2 1 0 -0.0051950
5 2 1 1 0.0186450
5 2 2 0 0.0000000
5 2 2 1 0.0000000
5 2 2 2 0.0016888
5 2 3 0 0.0033134
5 2 3 1 0.0036273
5 2 3 2 -0.0000000
5 2 3 3 -0.0475922
5 2 4 0 0.0050638
5 2 4 1 0.0249199
5 2 4 2 0.0000000
5 2 4 3 -0.0857660
5 2 4 4 -0.0295760
5 2 5 0 0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.1033969
5 2 5 3 -0.0000000
5 2 5 4 0.0000000
5 2 5 5 -0.0800856
5 3 0 0 -0.0000000
5 3 1 0 -0.0000000
5 3 1 1 0.0000000
5 3 2 0 -0.0057957
5 3 2 1 -0.0135653
5 3 2 2 -0.0000000
5 3 3 0 0.0000000
5 3 3 1 0.0000000
5 3 3 2 -0.0037222
5 3 3 3 -0.0000000
5 3 4 0 0.0000000
5 3 4 1 -0.0000000
5 3 4 2 -0.0307059
5 3 4 3 -0.0000000
5 3 4 4 0.0000000
5 3 5 0 0.0107307
5 3 5 1 -0.0231199
5 3 5 2 -0.0000000
5 3 5 3 0.0361911
5 3 5 4 0.0053721
5 3 5 5 -0.0000000
5 4 0 0 0.0000000
5 4 1 0 -0.0000000
5 4 1 1 -0.0000000
5 4 2 0 -0.0065796
5 4 2 1 0.0711658
5 4 2 2 0.0000000
5 4 3 0 -0.0000000
5 4 3 1 0.0000000
5 4 3 2 -0.0585115
5 4 3 3 -0.0000000
5 4 4 0 0.0000000
5 4 4 1 -0.0000000
5 4 4 2 0.0424468
5 4 4 3 0.0000000
5 4 4 4 -0.0000000
5 4 5 0 0.0146842
5 4 5 1 0.0287350
5 4 5 2 0.0000000
5 4 5 3 0.0053721
5 4 5 4 0.0645505
5 4 5 5 0.0000000
5 5 0 0 0.8080300
5 5 1 0 0.0097397
5 5 1 1 0.4637424
5 5 2 0 -0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5129221
5 5 3 0 -0.0107766
5 5 3 1 -0.0357478
5 5 3 2 -0.0000000
5 5 3 3 0.4940840
5 5 4 0 -0.0118100
5 5 4 1 0.0195465
5 5 4 2 0.0000000
5 5 4 3 0.0697589
5 5 4 4 0.5018566
5 5 5 0 0.0000000
5 5 5 1 -0.0000000
5 5 5 2 -0.0800856
5 5 5 3 -0.0000000
5 5 5 4 0.0000000
5 5 5 5 0.6033166
6 0 0 0 0.3906152
6 0 1 0 0.0354690
6 0 1 1 -0.0126059
6 0 2 0 0.0000000
6 0 2 1 0.0000000
6 0 2 2 -0.0029330
6 0 3 0 -0.0276487
6 0 3 1 -0.0068355
6 0 3 2 -0.0000000
6 0 3 3 0.0113230
6 0 4 0 -0.0286892
6 0 4 1 -0.0014829
6 0 4 2 -0.0000000
6 0 4 3 0.0257204
6 0 4 4 0.0154636
6 0 5 0 -0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0142167
6 0 5 3 0.0000000
6 0 5 4 0.0000000
6 0 5 5 0.0216786
6 0 6 0 0.0885899
6 0 6 1 0.0022790
6 0 6 2 -0.0000000
6 0 6 3 -0.0007866
6 0 6 4 0.0001890
6 0 6 5 -0.0000000
6 0 6 6 0.0033452
6 1 0 0 0.2348979
6 1 1 0 0.0005950
6 1 1 1 0.0284806
6 1 2 0 0.0000000
6 1 2 1 0.0000000
6 1 2 2 0.0327216
6 1 3 0 -0.0084714
6 1 3 1 -0.0168418
6 1 3 2 -0.0000000
6 1 3 3 0.0499907
6 1 4 0 -0.0092027
6 1 4 1 -0.0058266
6 1 4 2 0.0000000
6 1 4 3 0.0639110
6 1 4 4 0.0377697
6 1 5 0 -0.0000000
6 1 5 1 -0.0000000
6 1 5 2 -0.0619978
6 1 5 3 -0.0000000
6 1 5 4 0.0000000
6 1 5 5 0.0734842
6 1 6 0 0.0022790
6 1 6 1 0.0820445
6 1 6 2 -0.0000000
6 1 6 3 0.0068972
6 1 6 4 -0.0040634
6 1 6 5 -0.0000000
6 1 6 6 0.1269504
6 2 0 0 -0.0000000
6 2 1 0 -0.0000000
6 2 1 1 0.0000000
6 2 2 0 -0.0053682
6 2 2 1 -0.0143509
6 2 2 2 -0.0000000
6 2 3 0 0.0000000
6 2 3 1 -0.0000000
6 2 3 2 0.0103328
6 2 3 3 -0.0000000
6 2 4 0 0.0000000
6 2 4 1 0.0000000
6 2 4 2 -0.0227147
6 2 4 3 -0.0000000
6 2 4 4 -0.0000000
6 2 5 0 0.0083407
6 2 5 1 -0.0270696
6 2 5 2 0.0000000
6 2 5 3 0.0171229
6 2 5 4 -0.0165343
6 2 5 5 -0.0000000
6 2 6 0 -0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.0288807
6 2 6 3 0.0000000
6 2 6 4 -0.0000000
6 2 6 5 -0.0027330
6 2 6 6 -0.0000000
6 3 0 0 -0.0058341
6 3 1 0 0.0010692
6 3 1 1 -0.0183638
6 3 2 0 -0.0000000
6 3 2 1 -0.0000000
6 3 2 2 0.0070015
6 3 3 0 -0.0038300
6 3 3 1 -0.0113467
6 3 3 2 0.0000000
6 3 3 3 -0.0174521
6 3 4 0 -0.0024124
6 3 4 1 0.0311106
6 3 4 2 -0.0000000
6 3 4 3 0.0142984
6 3 4 4 -0.0097955
6 3 5 0 0.0000000
6 3 5 1 -0.0000000
6 3 5 2 0.0009381
6 3 5 3 0.0000000
6 3 5 4 -0.0000000
6 3 5 5 0.0141223
6 3 6 0 -0.0007866
6 3 6 1 0.0068972
6 3 6 2 0.0000000
6 3 6 3 0.0371650
6 3 6 4 0.0035579
6 3 6 5 0.0000000
6 3 6 6 0.0011610
6 4 0 0 -0.0062154
6 4 1 0 0.0010693
6 4 1 1 -0.0000530
6 4 2 0 -0.0000000
6 4 2 1 0.0000000
6 4 2 2 -0.0242172
6 4 3 0 -0.0024923
6 4 3 1 0.0402663
6 4 3 2 -0.0000000
6 4 3 3 0.0105617
6 4 4 0 -0.0025709
6 4 4 1 -0.0240178
6 4 4 2 0.0000000
6 4 4 3 -0.0077609
6 4 4 4 0.0028297
6 4 5 0 0.0000000
6 4 5 1 0.0000000
6 4 5 2 -0.0214091
6 4 5 3 -0.0000000
6 4 5 4 0.0000000
6 4 5 5 -0.0082407
6 4 6 0 0.0001890
6 4 6 1 -0.0040634
6 4 6 2 -0.0000000
6 4 6 3 0.0035579
6 4 6 4 0.0392203
6 4 6 5 -0.0000000
6 4 6 6 0.0051804
6 5 0 0 -0.0000000
6 5 1 0 0.0000000
6 5 1 1 -0.0000000
6 5 2 0 0.0091294
6 5 2 1 -0.0695712
6 5 2 2 -0.0000000
6 5 3 0 0.0000000
6 5 3 1 -0.0000000
6 5 3 2 0.0441428
6 5 3 3 0.0000000
6 5 4 0 0.0000000
6 5 4 1 0.0000000
6 5 4 2 -0.0431909
6 5 4 3 -0.0000000
6 5 4 4 0.0000000
6 5 5 0 -0.0181475
6 5 5 1 -0.0168539
6 5 5 2 -0.0000000
6 5 5 3 0.0047251
6 5 5 4 -0.0405278
6 5 5 5 -0.0000000
6 5 6 0 -0.0000000
6 5 6 1 -0.0000000
6 5 6 2 -0.0027330
6 5 6 3 0.0000000
6 5 6 4 -0.0000000
6 5 6 5 0.0560912
6 5 6 6 -0.0000000
6 6 0 0 0.9406234
6 6 1 0 0.0045515
6 6 1 1 0.5505113
6 6 2 0 0.0000000
6 6 2 1 -0.0000000
6 6 2 2 0.5093384
6 6 3 0 -0.0293744
6 6 3 1 0.0159209
6 6 3 2 0.0000000
6 6 3 3 0.5283232
6 6 4 0 -0.0303866
6 6 4 1 -0.0225052
6 6 4 2 -0.0000000
6 6 4 3 0.0315557
6 6 4 4 0.5182054
6 6 5 0 -0.0000000
6 6 5 1 -0.0000000
6 6 5 2 -0.0703327
6 6 5 3 -0.0000000
6 6 5 4 -0.0000000
6 6 5 5 0.5689756
6 6 6 0 0.0033452
6 6 6 1 0.1269504
6 6 6 2 -0.0000000
6 6 6 3 0.0011610
6 6 6 4 0.0051804
6 6 6 5 -0.0000000
6 6 6 6 0.7184496
7 0 0 0 0.0828955
7 0 1 0 0.0034407
7 0 1 1 0.0049096
7 0 2 0 0.0000000
7 0 2 1 0.0000000
7 0 2 2 0.0011871
7 0 3 0 -0.0041665
7 0 3 1 -0.0032874
7 0 3 2 -0.0000000
7 0 3 3 0.0047843
7 0 4 0 -0.0048072
7 0 4 1 -0.0036025
7 0 4 2 -0.0000000
7 0 4 3 0.0023256
7 0 4 4 0.0044417
7 0 5 0 -0.0000000
7 0 5 1 -0.0000000
7 0 5 2 0.0019726
7 0 5 3 0.0000000
7 0 5 4 0.0000000
7 0 5 5 -0.0019123
7 0 6 0 0.0094937
7 0 6 1 0.0045381
7 0 6 2 0.0000000
7 0 6 3 -0.0074627
7 0 6 4 -0.0071129
7 0 6 5 -0.0000000
7 0 6 6 0.0095180
7 0 7 0 0.0118989
7 0 7 1 -0.0003518
7 0 7 2 -0.0000000
7 0 7 3 0.0025961
7 0 7 4 0.0015078
7 0 7 5 0.0000000
7 0 7 6 -0.0039798
7 0 7 7 -0.0065478
7 1 0 0 -0.0078875
7 1 1 0 0.0000415
7 1 1 1 0.0041102
7 1 2 0 0.0000000
7 1 2 1 -0.0000000
7 1 2 2 0.0066849
7 1 3 0 -0.0016526
7 1 3 1 -0.0007249
7 1 3 2 0.0000000
7 1 3 3 -0.0036400
7 1 4 0 -0.0016590
7 1 4 1 0.0056429
7 1 4 2 0.0000000
7 1 4 3 -0.0079602
7 1 4 4 -0.0031323
7 1 5 0 -0.0000000
7 1 5 1 0.0000000
7 1 5 2 0.0046294
7 1 5 3 -0.0000000
7 1 5 4 -0.0000000
7 1 5 5 0.0016673
7 1 6 0 -0.0007001
7 1 6 1 -0.0024201
7 1 6 2 0.0000000
7 1 6 3 0.0036115
7 1 6 4 -0.0008314
7 1 6 5 0.0000000
7 1 6 6 -0.0010219
7 1 7 0 -0.0003518
7 1 7 1 0.0109889
7 1 7 2 -0.0000000
7 1 7 3 0.0091382
7 1 7 4 -0.0073364
7 1 7 5 0.0000000
7 1 7 6 -0.0015359
7 1 7 7 -0.0060419
7 2 0 0 0.0000000
7 2 1 0 0.0000000
7 2 1 1 -0.0000000
7 2 2 0 -0.0033088
7 2 2 1 0.0186581
7 2 2 2 0.0000000
7 2 3 0 -0.0000000
7 2 3 1 0.0000000
7 2 3 2 -0.0140813
7 2 3 3 -0.0000000
7 2 4 0 -0.0000000
7 2 4 1 0.0000000
7 2 4 2 0.0104645
7 2 4 3 0.0000000
7 2 4 4 -0.0000000
7 2 5 0 0.0070547
7 2 5 1 0.0025405
7 2 5 2 -0.0000000
7 2 5 3 0.0044135
7 2 5 4 0.0132592
7 2 5 5 0.0000000
7 2 6 0 0.0000000
7 2 6 1 0.0000000
7 2 6 2 0.0017022
7 2 6 3 0.0000000
7 2 6 4 0.0000000
7 2 6 5 -0.0137595
7 2 6 6 -0.0000000
7 2 7 0 -0.0000000
7 2 7 1 -0.0000000
7 2 7 2 0.0121786
7 2 7 3 -0.0000000
7 2 7 4 0.0000000
7 2 7 5 -0.0143015
7 2 7 6 -0.0000000
7 2 7 7 -0.0000000
7 3 0 0 -0.0066555
7 3 1 0 -0.0031965
7 3 1 1 0.0205980
7 3 2 0 -0.0000000
7 3 2 1 0.0000000
7 3 2 2 0.0034093
7 3 3 0 -0.0006229
7 3 3 1 0.0053256
7 3 3 2 -0.0000000
7 3 3 3 0.0051614
7 3 4 0 -0.0009673
7 3 4 1 -0.0088431
7 3 4 2 0.0000000
7 3 4 3 -0.0177703
7 3 4 4 0.0005456
7 3 5 0 0.0000000
7 3 5 1 -0.0000000
7 3 5 2 0.0108350
7 3 5 3 0.0000000
7 3 5 4 0.0000000
7 3 5 5 -0.0097808
7 3 6 0 -0.0087936
7 3 6 1 0.0022080
7 3 6 2 0.0000000
7 3 6 3 -0.0117425
7 3 6 4 -0.0055974
7 3 6 5 -0.0000000
7 3 6 6 0.0192324
7 3 7 0 0.0025961
7 3 7 1 0.0091382
7 3 7 2 -0.0000000
7 3 7 3 0.0253333
7 3 7 4 0.0001025
7 3 7 5 -0.0000000
7 3 7 6 -0.0032508
7 3 7 7 0.0062306
7 4 0 0 -0.0088077
7 4 1 0 -0.0027818
7 4 1 1 0.0153967
7 4 2 0 0.0000000
7 4 2 1 0.0000000
7 4 2 2 0.0081741
7 4 3 0 -0.0016011
7 4 3 1 0.0032989
7 4 3 2 0.0000000
7 4 3 3 -0.0017208
7 4 4 0 -0.0016645
7 4 4 1 -0.0014727
7 4 4 2 0.0000000
7 4 4 3 -0.0157103
7 4 4 4 -0.0031078
7 4 5 0 0.0000000
7 4 5 1 -0.0000000
7 4 5 2 0.0081983
7 4 5 3 0.0000000
7 4 5 4 0.0000000
7 4 5 5 -0.0051248
7 4 6 0 -0.0087349
7 4 6 1 0.0022576
7 4 6 2 0.0000000
7 4 6 3 -0.0045614
7 4 6 4 -0.0054085
7 4 6 5 -0.0000000
7 4 6 6 0.0165526
7 4 7 0 0.0015078
7 4 7 1 -0.0073364
7 4 7 2 0.0000000
7 4 7 3 0.0001025
7 4 7 4 0.0243655
7 4 7 5 -0.0000000
7 4 7 6 0.0144281
7 4 7 7 0.0005431
7 5 0 0 -0.0000000
7 5 1 0 -0.0000000
7 5 1 1 0.0000000
7 5 2 0 0.0055034
7 5 2 1 -0.0128371
7 5 2 2 -0.0000000
7 5 3 0 0.0000000
7 5 3 1 -0.0000000
7 5 3 2 0.0130553
7 5 3 3 0.0000000
7 5 4 0 0.0000000
7 5 4 1 -0.0000000
7 5 4 2 -0.0019368
7 5 4 3 0.0000000
7 5 4 4 0.0000000
7 5 5 0 -0.0116568
7 5 5 1 0.0037266
7 5 5 2 0.0000000
7 5 5 3 -0.0127893
7 5 5 4 -0.0127200
7 5 5 5 -0.0000000
7 5 6 0 -0.0000000
7 5 6 1 0.0000000
7 5 6 2 -0.0068668
7 5 6 3 -0.0000000
7 5 6 4 -0.0000000
7 5 6 5 0.0129055
7 5 6 6 0.0000000
7 5 7 0 0.0000000
7 5 7 1 0.0000000
7 5 7 2 -0.0143015
7 5 7 3 -0.0000000
7 5 7 4 -0.0000000
7 5 7 5 0.0259280
7 5 7 6 0.0000000
7 5 7 7 -0.0000000
7 6 0 0 0.0136086
7 6 1 0 0.0020449
7 6 1 1 0.0049854
7 6 2 0 0.0000000
7 6 2 1 -0.0000000
7 6 2 2 0.0037267
7 6 3 0 -0.0086020
7 6 3 1 0.0138195
7 6 3 2 0.0000000
7 6 3 3 -0.0077599
7 6 4 0 -0.0086606
7 6 4 1 0.0029097
7 6 4 2 0.0000000
7 6 4 3 -0.0163504
7 6 4 4 -0.0096823
7 6 5 0 -0.0000000
7 6 5 1 0.0000000
7 6 5 2 -0.0038658
7 6 5 3 -0.0000000
7 6 5 4 -0.0000000
7 6 5 5 0.0044148
7 6 6 0 -0.0001577
7 6 6 1 -0.0005692
7 6 6 2 -0.0000000
7 6 6 3 0.0111504
