NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.857184
ENERGIES
-10.854052
-0.852662
-0.450663
-0.237394
0.544212
0.743923
0.805355
849736.569141
965066.331445
996478.063622
1070620.530432
1118094.054708

OEI
-18.384034	
7 2 1 1 0.0000000
7 2 2 0 0.0048175
7 2 2 1 0.0216988
7 2 2 2 -0.0000000
7 2 3 0 -0.0000000
7 2 3 1 -0.0000000
7 2 3 2 -0.0128046
7 2 3 3 0.0000000
7 2 4 0 -0.0000000
7 2 4 1 -0.0000000
7 2 4 2 0.0125809
7 2 4 3 -0.0000000
7 2 4 4 0.0000000
7 2 5 0 0.0000000
7 2 5 1 0.0000000
7 2 5 2 0.0030863
7 2 5 3 -0.0000000
7 2 5 4 -0.0000000
7 2 5 5 0.0000000
7 2 6 0 0.0069048
7 2 6 1 -0.0012022
7 2 6 2 -0.0000000
7 2 6 3 -0.0095963
7 2 6 4 -0.0172579
7 2 6 5 0.0139083
7 2 6 6 -0.0000000
7 2 7 0 -0.0000000
7 2 7 1 0.0000000
7 2 7 2 0.0179299
7 2 7 3 0.0000000
7 2 7 4 -0.0000000
7 2 7 5 -0.0000000
7 2 7 6 0.0158282
7 2 7 7 0.0000000
7 3 0 0 -0.0078860
7 3 1 0 0.0041992
7 3 1 1 0.0262928
7 3 2 0 -0.0000000
7 3 2 1 -0.0000000
7 3 2 2 0.0007266
7 3 3 0 0.0018909
7 3 3 1 0.0025226
7 3 3 2 0.0000000
7 3 3 3 -0.0076618
7 3 4 0 0.0003594
7 3 4 1 -0.0090672
7 3 4 2 -0.0000000
7 3 4 3 -0.0177587
7 3 4 4 0.0129711
7 3 5 0 0.0079166
7 3 5 1 0.0029160
7 3 5 2 -0.0000000
7 3 5 3 -0.0180575
7 3 5 4 -0.0030462
7 3 5 5 0.0213493
7 3 6 0 -0.0000000
7 3 6 1 -0.0000000
7 3 6 2 -0.0154863
7 3 6 3 0.0000000
7 3 6 4 0.0000000
7 3 6 5 -0.0000000
7 3 6 6 -0.0053619
7 3 7 0 -0.0026756
7 3 7 1 0.0052907
7 3 7 2 0.0000000
7 3 7 3 0.0263852
7 3 7 4 -0.0010253
7 3 7 5 -0.0002817
7 3 7 6 -0.0000000
7 3 7 7 0.0050275
7 4 0 0 -0.0067281
7 4 1 0 0.0021409
7 4 1 1 0.0086621
7 4 2 0 -0.0000000
7 4 2 1 -0.0000000
