NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.627727
ENERGIES
-10.934183
-0.903836
-0.515058
-0.302029
0.506513
0.693729
0.736850
849736.458155
965066.329839
996478.106600
1070621.023592
1118093.588908

OEI
-18.547200	
6 2 6 3 0.0000000
6 2 6 4 0.0000000
6 2 6 5 0.0000000
6 2 6 6 -0.0433495
6 3 0 0 -0.0000000
6 3 1 0 0.0000000
6 3 1 1 0.0000000
6 3 2 0 -0.0070751
6 3 2 1 -0.0157640
6 3 2 2 -0.0000000
6 3 3 0 0.0000000
6 3 3 1 0.0000000
6 3 3 2 -0.0278527
6 3 3 3 -0.0000000
6 3 4 0 0.0000000
6 3 4 1 0.0000000
6 3 4 2 -0.0079245
6 3 4 3 -0.0000000
6 3 4 4 0.0000000
6 3 5 0 -0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0047637
6 3 5 3 0.0000000
6 3 5 4 -0.0000000
6 3 5 5 -0.0000000
6 3 6 0 0.0096626
6 3 6 1 0.0111812
6 3 6 2 0.0000000
6 3 6 3 0.0305954
6 3 6 4 0.0108657
6 3 6 5 0.0019703
6 3 6 6 -0.0000000
6 4 0 0 0.0000000
6 4 1 0 0.0000000
6 4 1 1 0.0000000
6 4 2 0 -0.0073186
6 4 2 1 -0.0928924
6 4 2 2 0.0000000
6 4 3 0 -0.0000000
6 4 3 1 0.0000000
6 4 3 2 -0.0361632
6 4 3 3 -0.0000000
6 4 4 0 -0.0000000
6 4 4 1 -0.0000000
6 4 4 2 0.0863591
6 4 4 3 0.0000000
6 4 4 4 -0.0000000
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 0.0165380
6 4 5 3 -0.0000000
6 4 5 4 -0.0000000
6 4 5 5 -0.0000000
6 4 6 0 0.0098677
6 4 6 1 -0.0525874
6 4 6 2 0.0000000
6 4 6 3 0.0108657
6 4 6 4 0.1132949
6 4 6 5 0.0577083
6 4 6 6 0.0000000
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 0.0000000
6 5 2 0 -0.0074934
6 5 2 1 -0.0591580
6 5 2 2 -0.0000000
6 5 3 0 -0.0000000
6 5 3 1 -0.0000000
6 5 3 2 -0.0148902
6 5 3 3 0.0000000
6 5 4 0 -0.0000000
6 5 4 1 0.0000000
6 5 4 2 0.0451016
6 5 4 3 -0.0000000
6 5 4 4 0.0000000
6 5 5 0 0.0000000
6 5 5 1 0.0000000
6 5 5 2 -0.0034824
6 5 5 3 0.0000000
6 5 5 4 -0.0000000
6 5 5 5 0.0000000
6 5 6 0 0.0097045
6 5 6 1 -0.0212554
6 5 6 2 0.0000000
6 5 6 3 0.0019703
6 5 6 4 0.0577083
6 5 6 5 0.0429784
6 5 6 6 0.0000000
6 6 0 0 0.7122714
6 6 1 0 -0.0055292
6 6 1 1 0.4987233
6 6 2 0 -0.0000000
6 6 2 1 -0.0000000
6 6 2 2 0.5303302
6 6 3 0 -0.0041495
6 6 3 1 0.0186267
6 6 3 2 -0.0000000
6 6 3 3 0.4925314
6 6 4 0 -0.0037653
6 6 4 1 -0.0195381
6 6 4 2 0.0000000
6 6 4 3 0.0276587
6 6 4 4 0.4794231
6 6 5 0 -0.0059016
6 6 5 1 0.0602173
6 6 5 2 0.0000000
6 6 5 3 -0.0238176
6 6 5 4 0.0368660
6 6 5 5 0.4997886
6 6 6 0 0.0000000
6 6 6 1 -0.0000000
6 6 6 2 -0.0433495
6 6 6 3 -0.0000000
6 6 6 4 0.0000000
6 6 6 5 0.0000000
6 6 6 6 0.5513645
7 0 0 0 -0.0850715
7 0 1 0 0.0037674
7 0 1 1 -0.0069136
7 0 2 0 -0.0000000
7 0 2 1 0.0000000
7 0 2 2 -0.0005705
7 0 3 0 0.0033700
7 0 3 1 -0.0049901
7 0 3 2 0.0000000
7 0 3 3 -0.0044706
7 0 4 0 0.0032863
