NMONOMER	1
NELEC	22
ENUC	56.638886
NBASIS	16
HF_ENERGY	-168.570762
ENERGIES
-19.922046
-19.600413
-8.138262
-1.017847
-0.812525
-0.352695
-0.195741
-0.180856
-0.057575
0.035106
0.087075
0.870003
0.877818
1.372567
1.665187
1000000.990072

OEI
-35.810987	
6 3 6 1 0.0001127
6 3 6 2 0.0007761
6 3 6 3 0.1260080
6 3 6 4 0.0136954
6 3 6 5 -0.0075290
6 3 6 6 0.0915211
6 4 0 0 0.0107598
6 4 1 0 0.0000073
6 4 1 1 0.0202932
6 4 2 0 -0.0000058
6 4 2 1 -0.0000200
6 4 2 2 -0.0118241
6 4 3 0 0.0007679
6 4 3 1 -0.0000313
6 4 3 2 0.0005149
6 4 3 3 -0.0005534
6 4 4 0 0.0000447
6 4 4 1 0.0012394
6 4 4 2 -0.0002883
6 4 4 3 -0.0022502
6 4 4 4 0.0027445
6 4 5 0 -0.0005040
6 4 5 1 -0.0004424
6 4 5 2 -0.0007113
6 4 5 3 -0.0024853
6 4 5 4 0.0014190
6 4 5 5 -0.0008600
6 4 6 0 -0.0022962
6 4 6 1 -0.0009176
6 4 6 2 -0.0005731
6 4 6 3 0.0136954
6 4 6 4 0.0084675
6 4 6 5 0.0016319
6 4 6 6 0.0092202
6 5 0 0 0.0335764
6 5 1 0 -0.0000127
6 5 1 1 0.0176929
6 5 2 0 0.0000017
6 5 2 1 0.0000094
6 5 2 2 0.0678524
6 5 3 0 -0.0004494
6 5 3 1 0.0000112
6 5 3 2 0.0004916
6 5 3 3 0.0176051
6 5 4 0 -0.0002333
6 5 4 1 -0.0001871
6 5 4 2 0.0015289
6 5 4 3 -0.0019565
6 5 4 4 0.0211867
6 5 5 0 -0.0019505
6 5 5 1 -0.0000433
6 5 5 2 0.0000138
6 5 5 3 -0.0202582
6 5 5 4 -0.0014723
6 5 5 5 0.0068671
6 5 6 0 0.0033186
6 5 6 1 0.0001544
6 5 6 2 -0.0010520
6 5 6 3 -0.0075290
6 5 6 4 0.0016319
6 5 6 5 0.0411028
6 5 6 6 0.0147680
6 6 0 0 1.0005630
6 6 1 0 -0.0005922
6 6 1 1 0.2644425
6 6 2 0 -0.0000775
6 6 2 1 0.0000259
6 6 2 2 0.3982996
6 6 3 0 0.0123811
6 6 3 1 0.0001340
6 6 3 2 0.0013834
6 6 3 3 0.6791884
6 6 4 0 0.0010582
6 6 4 1 0.0002292
6 6 4 2 0.0025835
6 6 4 3 0.0370704
6 6 4 4 0.2768998
6 6 5 0 -0.0037757
6 6 5 1 -0.0004902
6 6 5 2 -0.0030204
6 6 5 3 -0.0273875
6 6 5 4 0.0361012
6 6 5 5 0.5824769
6 6 6 0 -0.0105891
