NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-20.939638
ENERGIES
-6.469568
-0.101776
0.242977
0.505602
1.215488
1.668736
1.787359
849737.159751
965066.822864
996478.652526
1070620.970604
1118094.604900

OEI
-13.279093	
5 0 4 4 0.0000000
5 0 5 0 0.0271738
5 0 5 1 0.0032427
5 0 5 2 -0.0000000
5 0 5 3 -0.0107332
5 0 5 4 0.0147963
5 0 5 5 -0.0000000
5 1 0 0 -0.0000000
5 1 1 0 0.0000000
5 1 1 1 0.0000000
5 1 2 0 -0.0025651
5 1 2 1 0.0421834
5 1 2 2 -0.0000000
5 1 3 0 -0.0000000
5 1 3 1 0.0000000
5 1 3 2 -0.0243907
5 1 3 3 -0.0000000
5 1 4 0 0.0000000
5 1 4 1 -0.0000000
5 1 4 2 -0.0412142
5 1 4 3 0.0000000
5 1 4 4 -0.0000000
5 1 5 0 0.0032427
5 1 5 1 0.0352655
5 1 5 2 0.0000000
5 1 5 3 -0.0231533
5 1 5 4 -0.0284205
5 1 5 5 -0.0000000
5 2 0 0 -0.2191791
5 2 1 0 0.0051673
5 2 1 1 0.0186397
5 2 2 0 -0.0000000
5 2 2 1 0.0000000
5 2 2 2 0.0021292
5 2 3 0 -0.0033002
5 2 3 1 0.0037330
5 2 3 2 -0.0000000
5 2 3 3 -0.0466333
5 2 4 0 0.0051053
5 2 4 1 -0.0252093
5 2 4 2 0.0000000
5 2 4 3 0.0855988
5 2 4 4 -0.0302004
5 2 5 0 -0.0000000
5 2 5 1 0.0000000
5 2 5 2 0.1030304
5 2 5 3 0.0000000
5 2 5 4 0.0000000
5 2 5 5 -0.0803432
5 3 0 0 -0.0000000
5 3 1 0 0.0000000
5 3 1 1 0.0000000
5 3 2 0 0.0057697
5 3 2 1 -0.0136124
5 3 2 2 -0.0000000
5 3 3 0 -0.0000000
5 3 3 1 0.0000000
5 3 3 2 -0.0034929
5 3 3 3 0.0000000
5 3 4 0 0.0000000
5 3 4 1 0.0000000
5 3 4 2 0.0307500
5 3 4 3 0.0000000
5 3 4 4 0.0000000
5 3 5 0 -0.0107332
5 3 5 1 -0.0231533
5 3 5 2 0.0000000
5 3 5 3 0.0360851
5 3 5 4 -0.0055095
5 3 5 5 -0.0000000
5 4 0 0 -0.0000000
5 4 1 0 0.0000000
5 4 1 1 -0.0000000
5 4 2 0 -0.0065982
5 4 2 1 -0.0712556
5 4 2 2 0.0000000
5 4 3 0 -0.0000000
5 4 3 1 0.0000000
5 4 3 2 0.0586584
5 4 3 3 -0.0000000
5 4 4 0 -0.0000000
5 4 4 1 0.0000000
5 4 4 2 0.0422246
5 4 4 3 0.0000000
5 4 4 4 -0.0000000
5 4 5 0 0.0147963
5 4 5 1 -0.0284205
5 4 5 2 0.0000000
5 4 5 3 -0.0055095
5 4 5 4 0.0646783
5 4 5 5 -0.0000000
5 5 0 0 0.8090084
5 5 1 0 -0.0097654
5 5 1 1 0.4636077
5 5 2 0 0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5125557
5 5 3 0 0.0107701
5 5 3 1 -0.0360881
5 5 3 2 0.0000000
5 5 3 3 0.4934623
5 5 4 0 -0.0119466
5 5 4 1 -0.0189557
5 5 4 2 0.0000000
5 5 4 3 -0.0700734
5 5 4 4 0.5027613
5 5 5 0 -0.0000000
5 5 5 1 -0.0000000
5 5 5 2 -0.0803432
5 5 5 3 -0.0000000
5 5 5 4 -0.0000000
5 5 5 5 0.6040324
6 0 0 0 0.3897006
6 0 1 0 -0.0353891
6 0 1 1 -0.0126386
6 0 2 0 0.0000000
6 0 2 1 0.0000000
6 0 2 2 -0.0030236
6 0 3 0 0.0275270
6 0 3 1 -0.0068946
6 0 3 2 0.0000000
6 0 3 3 0.0110540
6 0 4 0 -0.0289348
6 0 4 1 0.0015686
6 0 4 2 -0.0000000
6 0 4 3 -0.0257279
6 0 4 4 0.0157244
6 0 5 0 0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0141445
6 0 5 3 0.0000000
6 0 5 4 -0.0000000
6 0 5 5 0.0216936
6 0 6 0 0.0883667
6 0 6 1 -0.0022082
6 0 6 2 0.0000000
6 0 6 3 0.0007165
6 0 6 4 0.0002585
6 0 6 5 0.0000000
6 0 6 6 0.0032054
6 1 0 0 -0.2344213
6 1 1 0 0.0005968
6 1 1 1 -0.0284507
6 1 2 0 -0.0000000
6 1 2 1 -0.0000000
6 1 2 2 -0.0324785
6 1 3 0 -0.0084231
6 1 3 1 0.0170127
6 1 3 2 -0.0000000
6 1 3 3 -0.0491888
6 1 4 0 0.0092419
6 1 4 1 -0.0061556
6 1 4 2 0.0000000
6 1 4 3 0.0637607
6 1 4 4 -0.0383547
6 1 5 0 0.0000000
6 1 5 1 0.0000000
6 1 5 2 0.0617537
6 1 5 3 0.0000000
6 1 5 4 0.0000000
6 1 5 5 -0.0736601
6 1 6 0 -0.0022082
6 1 6 1 0.0817960
6 1 6 2 -0.0000000
6 1 6 3 0.0070313
6 1 6 4 0.0041299
6 1 6 5 -0.0000000
6 1 6 6 -0.1269141
6 2 0 0 0.0000000
6 2 1 0 -0.0000000
6 2 1 1 0.0000000
6 2 2 0 -0.0053242
6 2 2 1 0.0144296
6 2 2 2 0.0000000
6 2 3 0 0.0000000
6 2 3 1 -0.0000000
6 2 3 2 -0.0104498
6 2 3 3 0.0000000
6 2 4 0 -0.0000000
6 2 4 1 0.0000000
6 2 4 2 -0.0227258
6 2 4 3 -0.0000000
6 2 4 4 0.0000000
6 2 5 0 0.0083045
6 2 5 1 0.0269822
6 2 5 2 -0.0000000
6 2 5 3 -0.0170665
6 2 5 4 -0.0164410
6 2 5 5 0.0000000
6 2 6 0 0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.0287603
6 2 6 3 0.0000000
6 2 6 4 0.0000000
6 2 6 5 -0.0027893
6 2 6 6 0.0000000
6 3 0 0 0.0055309
6 3 1 0 0.0010866
6 3 1 1 0.0186576
6 3 2 0 -0.0000000
6 3 2 1 -0.0000000
6 3 2 2 -0.0069882
6 3 3 0 -0.0037406
6 3 3 1 0.0118856
6 3 3 2 -0.0000000
6 3 3 3 0.0176619
6 3 4 0 0.0023538
6 3 4 1 0.0310768
6 3 4 2 -0.0000000
6 3 4 3 0.0147044
6 3 4 4 0.0095042
6 3 5 0 0.0000000
6 3 5 1 0.0000000
6 3 5 2 -0.0008031
6 3 5 3 0.0000000
6 3 5 4 0.0000000
6 3 5 5 -0.0142610
6 3 6 0 0.0007165
6 3 6 1 0.0070313
6 3 6 2 0.0000000
6 3 6 3 0.0371363
6 3 6 4 -0.0035850
6 3 6 5 0.0000000
6 3 6 6 -0.0011727
6 4 0 0 -0.0065166
6 4 1 0 -0.0010943
