NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-23.955807
ENERGIES
-6.902750
-0.518264
-0.094390
0.111558
0.842351
1.313594
1.392018
849736.683414
965066.354871
996478.041960
1070620.478433
1118094.166664

OEI
-13.617691	
5 1 1 1 -0.0000000
5 1 2 0 0.0020967
5 1 2 1 -0.0314825
5 1 2 2 -0.0000000
5 1 3 0 -0.0000000
5 1 3 1 -0.0000000
5 1 3 2 0.0295667
5 1 3 3 -0.0000000
5 1 4 0 0.0000000
5 1 4 1 -0.0000000
5 1 4 2 0.0319892
5 1 4 3 0.0000000
5 1 4 4 -0.0000000
5 1 5 0 0.0024353
5 1 5 1 0.0270228
5 1 5 2 -0.0000000
5 1 5 3 -0.0260167
5 1 5 4 -0.0241600
5 1 5 5 -0.0000000
5 2 0 0 0.2246043
5 2 1 0 -0.0050648
5 2 1 1 -0.0177750
5 2 2 0 -0.0000000
5 2 2 1 0.0000000
5 2 2 2 0.0022530
5 2 3 0 0.0041413
5 2 3 1 -0.0023848
5 2 3 2 -0.0000000
5 2 3 3 0.0258038
5 2 4 0 -0.0042027
5 2 4 1 0.0137443
5 2 4 2 0.0000000
5 2 4 3 -0.0868817
5 2 4 4 0.0557799
5 2 5 0 0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.1064560
5 2 5 3 0.0000000
5 2 5 4 0.0000000
5 2 5 5 0.0776710
5 3 0 0 0.0000000
5 3 1 0 -0.0000000
5 3 1 1 0.0000000
5 3 2 0 -0.0056291
5 3 2 1 0.0223666
5 3 2 2 0.0000000
5 3 3 0 -0.0000000
5 3 3 1 0.0000000
5 3 3 2 -0.0133038
5 3 3 3 0.0000000
5 3 4 0 -0.0000000
5 3 4 1 0.0000000
5 3 4 2 -0.0386547
5 3 4 3 -0.0000000
5 3 4 4 0.0000000
5 3 5 0 -0.0095143
5 3 5 1 -0.0260167
5 3 5 2 0.0000000
5 3 5 3 0.0417108
5 3 5 4 0.0026654
5 3 5 5 0.0000000
5 4 0 0 0.0000000
5 4 1 0 -0.0000000
5 4 1 1 -0.0000000
5 4 2 0 0.0068310
5 4 2 1 0.0562521
5 4 2 2 0.0000000
5 4 3 0 0.0000000
5 4 3 1 0.0000000
5 4 3 2 -0.0694646
5 4 3 3 -0.0000000
5 4 4 0 -0.0000000
5 4 4 1 0.0000000
5 4 4 2 -0.0307967
5 4 4 3 -0.0000000
5 4 4 4 0.0000000
5 4 5 0 0.0144625
5 4 5 1 -0.0241600
5 4 5 2 0.0000000
5 4 5 3 0.0026654
5 4 5 4 0.0639216
5 4 5 5 -0.0000000
5 5 0 0 0.7994672
5 5 1 0 -0.0085927
5 5 1 1 0.4506838
5 5 2 0 -0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.5159813
5 5 3 0 0.0112103
5 5 3 1 -0.0422275
5 5 3 2 0.0000000
5 5 3 3 0.4845492
5 5 4 0 -0.0108259
5 5 4 1 -0.0249362
5 5 4 2 0.0000000
5 5 4 3 -0.0581929
5 5 4 4 0.5206733
5 5 5 0 -0.0000000
5 5 5 1 -0.0000000
5 5 5 2 0.0776710
5 5 5 3 0.0000000
5 5 5 4 -0.0000000
5 5 5 5 0.5971775
6 0 0 0 -0.3944888
6 0 1 0 0.0328022
6 0 1 1 0.0136988
6 0 2 0 0.0000000
6 0 2 1 0.0000000
6 0 2 2 0.0021619
6 0 3 0 -0.0330998
6 0 3 1 0.0053294
6 0 3 2 -0.0000000
6 0 3 3 -0.0061469
6 0 4 0 0.0247833
6 0 4 1 -0.0009706
6 0 4 2 -0.0000000
6 0 4 3 0.0235139
6 0 4 4 -0.0219103
6 0 5 0 -0.0000000
6 0 5 1 0.0000000
6 0 5 2 -0.0147317
6 0 5 3 -0.0000000
6 0 5 4 0.0000000
6 0 5 5 -0.0212491
6 0 6 0 0.0890309
6 0 6 1 -0.0019380
6 0 6 2 -0.0000000
6 0 6 3 0.0026122
6 0 6 4 0.0003573
6 0 6 5 0.0000000
6 0 6 6 -0.0038288
6 1 0 0 0.2263581
6 1 1 0 0.0000466
6 1 1 1 0.0244314
6 1 2 0 -0.0000000
6 1 2 1 -0.0000000
6 1 2 2 0.0328928
6 1 3 0 0.0073158
6 1 3 1 -0.0191795
6 1 3 2 0.0000000
6 1 3 3 0.0367091
6 1 4 0 -0.0099657
6 1 4 1 -0.0036790
6 1 4 2 0.0000000
6 1 4 3 -0.0591689
6 1 4 4 0.0538552
6 1 5 0 0.0000000
6 1 5 1 -0.0000000
6 1 5 2 0.0605485
6 1 5 3 0.0000000
6 1 5 4 -0.0000000
6 1 5 5 0.0680328
6 1 6 0 -0.0019380
6 1 6 1 0.0786860
6 1 6 2 0.0000000
6 1 6 3 -0.0111855
6 1 6 4 -0.0107228
6 1 6 5 -0.0000000
6 1 6 6 0.1248356
6 2 0 0 0.0000000
6 2 1 0 -0.0000000
6 2 1 1 0.0000000
6 2 2 0 0.0052867
6 2 2 1 -0.0174801
6 2 2 2 -0.0000000
6 2 3 0 0.0000000
6 2 3 1 -0.0000000
6 2 3 2 0.0198787
6 2 3 3 0.0000000
6 2 4 0 -0.0000000
6 2 4 1 0.0000000
6 2 4 2 0.0249890
6 2 4 3 -0.0000000
6 2 4 4 0.0000000
6 2 5 0 0.0077495
6 2 5 1 0.0268004
6 2 5 2 0.0000000
6 2 5 3 -0.0259827
6 2 5 4 -0.0203654
6 2 5 5 0.0000000
6 2 6 0 -0.0000000
6 2 6 1 0.0000000
6 2 6 2 0.0335676
6 2 6 3 -0.0000000
6 2 6 4 -0.0000000
6 2 6 5 -0.0043208
6 2 6 6 0.0000000
6 3 0 0 -0.0685739
6 3 1 0 -0.0000389
6 3 1 1 -0.0279722
6 3 2 0 -0.0000000
6 3 2 1 0.0000000
