NMONOMER	1
NELEC	8
ENUC	7.351144
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.174814
ENERGIES
-10.838377
-0.503653
-0.438703
-0.245669
0.576147
0.790764
0.894469
849736.562482
965066.564654
996478.263795
1070621.178486
1118093.692394

OEI
-18.384409	
6 6 4 1 0.0145298
6 6 4 2 -0.0000000
6 6 4 3 -0.0345899
6 6 4 4 0.3536097
6 6 5 0 0.0000000
6 6 5 1 -0.0000000
6 6 5 2 0.1008670
6 6 5 3 -0.0000000
6 6 5 4 -0.0000000
6 6 5 5 0.4603975
6 6 6 0 0.0085389
6 6 6 1 0.0003868
6 6 6 2 0.0000000
6 6 6 3 0.0309728
6 6 6 4 0.0038339
6 6 6 5 -0.0000000
6 6 6 6 0.6506514
7 0 0 0 0.0837477
7 0 1 0 0.0042758
7 0 1 1 0.0094626
7 0 2 0 -0.0000000
7 0 2 1 -0.0000000
7 0 2 2 -0.0038784
7 0 3 0 0.0002673
7 0 3 1 -0.0049777
7 0 3 2 0.0000000
7 0 3 3 0.0020686
7 0 4 0 0.0127245
7 0 4 1 0.0023719
7 0 4 2 -0.0000000
7 0 4 3 -0.0027630
7 0 4 4 -0.0046026
7 0 5 0 0.0000000
7 0 5 1 0.0000000
7 0 5 2 0.0013409
7 0 5 3 -0.0000000
7 0 5 4 -0.0000000
7 0 5 5 0.0004822
7 0 6 0 -0.0050147
7 0 6 1 -0.0041619
7 0 6 2 0.0000000
7 0 6 3 0.0047287
7 0 6 4 -0.0005900
7 0 6 5 -0.0000000
7 0 6 6 0.0028515
7 0 7 0 0.0112925
7 0 7 1 -0.0020080
7 0 7 2 0.0000000
7 0 7 3 0.0014074
7 0 7 4 -0.0041688
7 0 7 5 -0.0000000
7 0 7 6 0.0029407
7 0 7 7 -0.0062523
7 1 0 0 -0.0105648
7 1 1 0 0.0020508
7 1 1 1 -0.0109331
7 1 2 0 -0.0000000
7 1 2 1 0.0000000
7 1 2 2 0.0088195
7 1 3 0 -0.0034334
7 1 3 1 0.0102948
7 1 3 2 -0.0000000
7 1 3 3 -0.0076881
7 1 4 0 -0.0000922
7 1 4 1 -0.0033772
7 1 4 2 -0.0000000
7 1 4 3 0.0086499
7 1 4 4 0.0049194
7 1 5 0 -0.0000000
7 1 5 1 -0.0000000
7 1 5 2 -0.0044748
7 1 5 3 0.0000000
7 1 5 4 0.0000000
7 1 5 5 0.0011826
7 1 6 0 0.0001685
7 1 6 1 0.0025568
7 1 6 2 -0.0000000
7 1 6 3 -0.0058528
7 1 6 4 -0.0023208
7 1 6 5 -0.0000000
7 1 6 6 -0.0033773
7 1 7 0 -0.0020080
7 1 7 1 0.0132151
7 1 7 2 0.0000000
7 1 7 3 0.0028201
7 1 7 4 -0.0004917
7 1 7 5 -0.0000000
7 1 7 6 0.0050279
7 1 7 7 -0.0018730
7 2 0 0 -0.0000000
7 2 1 0 -0.0000000
7 2 1 1 0.0000000
7 2 2 0 -0.0038885
7 2 2 1 0.0213388
7 2 2 2 -0.0000000
7 2 3 0 -0.0000000
7 2 3 1 -0.0000000
7 2 3 2 -0.0304168
7 2 3 3 0.0000000
7 2 4 0 0.0000000
7 2 4 1 -0.0000000
7 2 4 2 -0.0423667
7 2 4 3 -0.0000000
7 2 4 4 -0.0000000
7 2 5 0 -0.0092286
7 2 5 1 0.0132023
7 2 5 2 -0.0000000
7 2 5 3 0.0076823
7 2 5 4 0.0498048
7 2 5 5 0.0000000
7 2 6 0 -0.0000000
7 2 6 1 0.0000000
7 2 6 2 -0.0052046
7 2 6 3 0.0000000
7 2 6 4 0.0000000
7 2 6 5 -0.0150020
7 2 6 6 -0.0000000
7 2 7 0 0.0000000
7 2 7 1 0.0000000
7 2 7 2 0.0332148
7 2 7 3 -0.0000000
7 2 7 4 -0.0000000
7 2 7 5 0.0046712
7 2 7 6 0.0000000
7 2 7 7 -0.0000000
7 3 0 0 0.0279545
7 3 1 0 -0.0027972
7 3 1 1 0.0383531
7 3 2 0 -0.0000000
7 3 2 1 -0.0000000
7 3 2 2 -0.0206679
7 3 3 0 -0.0039495
7 3 3 1 0.0103521
7 3 3 2 0.0000000
7 3 3 3 -0.0001927
7 3 4 0 0.0040129
7 3 4 1 0.0038940
7 3 4 2 -0.0000000
7 3 4 3 0.0022586
7 3 4 4 -0.0307388
7 3 5 0 -0.0000000
7 3 5 1 0.0000000
7 3 5 2 0.0181421
7 3 5 3 -0.0000000
7 3 5 4 -0.0000000
7 3 5 5 -0.0022617
7 3 6 0 0.0057791
7 3 6 1 -0.0051555
7 3 6 2 0.0000000
7 3 6 3 0.0123089
7 3 6 4 -0.0073561
7 3 6 5 -0.0000000
7 3 6 6 0.0362845
7 3 7 0 0.0014074
7 3 7 1 0.0028201
7 3 7 2 -0.0000000
7 3 7 3 0.0261866
7 3 7 4 -0.0010651
7 3 7 5 -0.0000000
7 3 7 6 -0.0017054
7 3 7 7 0.0163304
7 4 0 0 0.1312756
7 4 1 0 0.0075595
7 4 1 1 0.0271102
7 4 2 0 0.0000000
