NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.867870
ENERGIES
-10.964307
-0.926459
-0.540445
-0.325926
0.485928
0.669653
0.711423
849736.433838
965066.312716
996478.089859
1070621.007972
1118093.563285

OEI
-18.588748	
6 6 2 2 0.5303064
6 6 3 0 -0.0041199
6 6 3 1 0.0179762
6 6 3 2 -0.0000000
6 6 3 3 0.4919499
6 6 4 0 -0.0037579
6 6 4 1 -0.0195226
6 6 4 2 0.0000000
6 6 4 3 0.0267478
6 6 4 4 0.4799883
6 6 5 0 -0.0058022
6 6 5 1 0.0597679
6 6 5 2 0.0000000
6 6 5 3 -0.0235740
6 6 5 4 0.0373744
6 6 5 5 0.4982494
6 6 6 0 0.0000000
6 6 6 1 0.0000000
6 6 6 2 -0.0423099
6 6 6 3 -0.0000000
6 6 6 4 0.0000000
6 6 6 5 0.0000000
6 6 6 6 0.5505585
7 0 0 0 -0.0850727
7 0 1 0 0.0037780
7 0 1 1 -0.0069262
7 0 2 0 -0.0000000
7 0 2 1 0.0000000
7 0 2 2 -0.0005546
7 0 3 0 0.0033548
7 0 3 1 -0.0049981
7 0 3 2 0.0000000
7 0 3 3 -0.0044381
7 0 4 0 0.0033075
7 0 4 1 -0.0034982
7 0 4 2 -0.0000000
7 0 4 3 -0.0025382
7 0 4 4 -0.0037231
7 0 5 0 0.0053661
7 0 5 1 -0.0043507
7 0 5 2 0.0000000
7 0 5 3 -0.0057288
7 0 5 4 -0.0033014
7 0 5 5 -0.0047959
7 0 6 0 0.0000000
7 0 6 1 -0.0000000
7 0 6 2 -0.0017077
7 0 6 3 -0.0000000
7 0 6 4 -0.0000000
7 0 6 5 -0.0000000
7 0 6 6 0.0005609
7 0 7 0 0.0112589
7 0 7 1 0.0015320
7 0 7 2 -0.0000000
7 0 7 3 0.0025849
7 0 7 4 0.0014589
7 0 7 5 0.0031638
7 0 7 6 0.0000000
7 0 7 7 0.0059803
7 1 0 0 -0.0066777
7 1 1 0 -0.0008161
7 1 1 1 -0.0001435
7 1 2 0 0.0000000
