NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.207286
ENERGIES
-10.934265
-0.978869
-0.491971
-0.357207
0.408007
0.650097
0.764165
849736.416261
965066.111951
996477.545653
1070620.296256
1118093.914523

OEI
-18.319694	
5 2 5 2 0.0413003
5 2 5 3 0.0000000
5 2 5 4 0.0000000
5 2 5 5 -0.0000000
5 3 0 0 -0.0130629
5 3 1 0 0.0023186
5 3 1 1 -0.0334015
5 3 2 0 0.0000000
5 3 2 1 -0.0000000
5 3 2 2 0.0014201
5 3 3 0 0.0019031
5 3 3 1 0.0028524
5 3 3 2 -0.0000000
5 3 3 3 -0.0187713
5 3 4 0 -0.0000696
5 3 4 1 0.0272539
5 3 4 2 0.0000000
5 3 4 3 -0.0213439
5 3 4 4 -0.0105299
5 3 5 0 -0.0024494
5 3 5 1 0.0014998
5 3 5 2 0.0000000
5 3 5 3 0.0325634
5 3 5 4 0.0027973
5 3 5 5 -0.0092936
5 4 0 0 -0.0947688
5 4 1 0 -0.0020908
5 4 1 1 -0.0236422
5 4 2 0 -0.0000000
5 4 2 1 0.0000000
5 4 2 2 0.0094647
5 4 3 0 -0.0043974
5 4 3 1 0.0302556
5 4 3 2 0.0000000
5 4 3 3 -0.0367270
5 4 4 0 0.0025922
5 4 4 1 0.0341418
5 4 4 2 0.0000000
5 4 4 3 0.0088421
5 4 4 4 -0.0150615
5 4 5 0 0.0012039
5 4 5 1 0.0284251
5 4 5 2 0.0000000
5 4 5 3 0.0027973
5 4 5 4 0.0546759
5 4 5 5 -0.0259594
5 5 0 0 0.8129547
5 5 1 0 -0.0010155
5 5 1 1 0.5691649
5 5 2 0 -0.0000000
5 5 2 1 0.0000000
5 5 2 2 0.5190444
5 5 3 0 0.0158784
5 5 3 1 0.0043167
5 5 3 2 0.0000000
5 5 3 3 0.5016478
5 5 4 0 -0.0137521
5 5 4 1 0.0141184
5 5 4 2 0.0000000
5 5 4 3 -0.0065696
5 5 4 4 0.4976504
5 5 5 0 0.0098602
5 5 5 1 -0.1106023
5 5 5 2 -0.0000000
5 5 5 3 -0.0092936
5 5 5 4 -0.0259594
5 5 5 5 0.6242578
6 0 0 0 0.0000000
6 0 1 0 0.0000000
6 0 1 1 -0.0000000
6 0 2 0 -0.0129313
6 0 2 1 0.0126155
6 0 2 2 0.0000000
6 0 3 0 0.0000000
6 0 3 1 -0.0000000
6 0 3 2 0.0120221
6 0 3 3 0.0000000
6 0 4 0 0.0000000
6 0 4 1 -0.0000000
6 0 4 2 0.0032168
6 0 4 3 -0.0000000
6 0 4 4 0.0000000
6 0 5 0 -0.0000000
6 0 5 1 -0.0000000
6 0 5 2 -0.0057646
6 0 5 3 -0.0000000
6 0 5 4 0.0000000
6 0 5 5 0.0000000
6 0 6 0 0.0198677
6 0 6 1 -0.0047443
6 0 6 2 -0.0000000
6 0 6 3 -0.0105223
6 0 6 4 0.0077177
6 0 6 5 0.0121769
6 0 6 6 -0.0000000
6 1 0 0 0.0000000
6 1 1 0 -0.0000000
6 1 1 1 0.0000000
6 1 2 0 0.0034379
6 1 2 1 0.0241114
6 1 2 2 0.0000000
6 1 3 0 0.0000000
6 1 3 1 0.0000000
6 1 3 2 0.0070570
6 1 3 3 0.0000000
6 1 4 0 -0.0000000
6 1 4 1 -0.0000000
6 1 4 2 0.0360754
6 1 4 3 -0.0000000
6 1 4 4 0.0000000
6 1 5 0 -0.0000000
6 1 5 1 -0.0000000
6 1 5 2 0.0337742
6 1 5 3 0.0000000
6 1 5 4 -0.0000000
6 1 5 5 0.0000000
6 1 6 0 -0.0047443
6 1 6 1 0.0323590
6 1 6 2 -0.0000000
6 1 6 3 0.0173742
6 1 6 4 0.0355357
6 1 6 5 0.0295510
6 1 6 6 -0.0000000
6 2 0 0 -0.2517117
6 2 1 0 -0.0054637
6 2 1 1 -0.0062056
6 2 2 0 -0.0000000
6 2 2 1 -0.0000000
6 2 2 2 -0.0364338
6 2 3 0 -0.0025636
6 2 3 1 -0.0254639
6 2 3 2 -0.0000000
6 2 3 3 -0.0831441
6 2 4 0 -0.0001818
6 2 4 1 0.0122448
6 2 4 2 0.0000000
6 2 4 3 0.0794453
6 2 4 4 -0.0064106
6 2 5 0 0.0086486
6 2 5 1 0.0727210
6 2 5 2 0.0000000
6 2 5 3 -0.0017181
6 2 5 4 0.0499190
6 2 5 5 -0.0429388
