NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-36.772537
ENERGIES
-10.963778
-0.924861
-0.533839
-0.322852
0.477106
0.657963
0.721496
849736.477125
965066.273584
996477.955901
1070620.572245
1118093.907897

OEI
-18.563402	
4 4 4 3 -0.0390901
4 4 4 4 0.5181806
5 0 0 0 0.2359771
5 0 1 0 -0.0273240
5 0 1 1 -0.0119729
5 0 2 0 -0.0000000
5 0 2 1 0.0000000
5 0 2 2 -0.0002960
5 0 3 0 0.0096194
5 0 3 1 -0.0054719
5 0 3 2 -0.0000000
5 0 3 3 0.0151127
5 0 4 0 0.0082412
5 0 4 1 0.0007091
5 0 4 2 -0.0000000
5 0 4 3 0.0128088
5 0 4 4 -0.0016098
5 0 5 0 0.0422534
5 0 5 1 0.0039318
5 0 5 2 0.0000000
5 0 5 3 -0.0030343
5 0 5 4 -0.0016899
5 0 5 5 -0.0097826
5 1 0 0 -0.2749484
5 1 1 0 -0.0006358
5 1 1 1 -0.0726990
5 1 2 0 0.0000000
5 1 2 1 -0.0000000
5 1 2 2 -0.0696061
5 1 3 0 -0.0080390
5 1 3 1 0.0253944
5 1 3 2 0.0000000
5 1 3 3 -0.0946660
5 1 4 0 -0.0039508
5 1 4 1 0.0055474
5 1 4 2 -0.0000000
5 1 4 3 -0.0539406
5 1 4 4 0.0040046
5 1 5 0 0.0039318
5 1 5 1 0.1097372
5 1 5 2 -0.0000000
5 1 5 3 0.0252788
5 1 5 4 -0.0164376
5 1 5 5 -0.1005506
5 2 0 0 0.0000000
5 2 1 0 -0.0000000
5 2 1 1 0.0000000
5 2 2 0 -0.0058567
5 2 2 1 0.0022863
5 2 2 2 0.0000000
5 2 3 0 0.0000000
5 2 3 1 -0.0000000
5 2 3 2 -0.0011256
5 2 3 3 0.0000000
5 2 4 0 -0.0000000
5 2 4 1 0.0000000
5 2 4 2 0.0217979
5 2 4 3 0.0000000
5 2 4 4 -0.0000000
5 2 5 0 0.0000000
5 2 5 1 -0.0000000
5 2 5 2 0.0284878
5 2 5 3 -0.0000000
5 2 5 4 0.0000000
5 2 5 5 0.0000000
5 3 0 0 -0.0565682
5 3 1 0 0.0034029
5 3 1 1 0.0204618
5 3 2 0 -0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0126486
5 3 3 0 -0.0034047
5 3 3 1 0.0011049
5 3 3 2 0.0000000
5 3 3 3 -0.0177992
5 3 4 0 -0.0014714
5 3 4 1 -0.0252184
5 3 4 2 0.0000000
5 3 4 3 -0.0310706
5 3 4 4 0.0233270
5 3 5 0 -0.0030343
5 3 5 1 0.0252788
5 3 5 2 -0.0000000
5 3 5 3 0.0433765
5 3 5 4 -0.0119455
5 3 5 5 -0.0002741
5 4 0 0 0.0054019
5 4 1 0 0.0013665
5 4 1 1 -0.0041386
5 4 2 0 -0.0000000
5 4 2 1 -0.0000000
5 4 2 2 0.0251993
5 4 3 0 -0.0004536
5 4 3 1 -0.0351896
5 4 3 2 0.0000000
5 4 3 3 -0.0153929
5 4 4 0 -0.0003193
5 4 4 1 0.0492781
5 4 4 2 -0.0000000
5 4 4 3 0.0204265
5 4 4 4 -0.0106774
5 4 5 0 -0.0016899
5 4 5 1 -0.0164376
5 4 5 2 0.0000000
5 4 5 3 -0.0119455
5 4 5 4 0.0576565
5 4 5 5 -0.0150814
5 5 0 0 0.8001823
5 5 1 0 0.0013306
5 5 1 1 0.5817346
5 5 2 0 -0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.5087969
5 5 3 0 0.0183851
5 5 3 1 0.0266445
5 5 3 2 -0.0000000
5 5 3 3 0.5060232
5 5 4 0 0.0087408
5 5 4 1 -0.0391080
5 5 4 2 0.0000000
5 5 4 3 -0.0078940
5 5 4 4 0.4986942
5 5 5 0 -0.0097826
5 5 5 1 -0.1005506
5 5 5 2 0.0000000
5 5 5 3 -0.0002741
5 5 5 4 -0.0150814
5 5 5 5 0.6200781
6 0 0 0 0.0000000
6 0 1 0 -0.0000000
6 0 1 1 -0.0000000
6 0 2 0 -0.0133803
6 0 2 1 -0.0135106
6 0 2 2 0.0000000
6 0 3 0 0.0000000
6 0 3 1 -0.0000000
6 0 3 2 0.0102385
6 0 3 3 0.0000000
6 0 4 0 -0.0000000
6 0 4 1 -0.0000000
6 0 4 2 -0.0021459
6 0 4 3 0.0000000
6 0 4 4 0.0000000
6 0 5 0 0.0000000
6 0 5 1 -0.0000000
6 0 5 2 0.0071625
6 0 5 3 0.0000000
6 0 5 4 0.0000000
6 0 5 5 0.0000000
6 0 6 0 0.0186761
6 0 6 1 0.0044390
6 0 6 2 0.0000000
6 0 6 3 -0.0095067
6 0 6 4 -0.0086671
6 0 6 5 -0.0106974
6 0 6 6 -0.0000000
6 1 0 0 -0.0000000
6 1 1 0 0.0000000
6 1 1 1 0.0000000
6 1 2 0 -0.0035305
6 1 2 1 0.0307173
6 1 2 2 -0.0000000
6 1 3 0 -0.0000000
6 1 3 1 0.0000000
6 1 3 2 -0.0046043
6 1 3 3 -0.0000000
6 1 4 0 -0.0000000
6 1 4 1 0.0000000
6 1 4 2 0.0456479
6 1 4 3 0.0000000
6 1 4 4 -0.0000000
6 1 5 0 -0.0000000
6 1 5 1 0.0000000
6 1 5 2 0.0280930
6 1 5 3 -0.0000000
6 1 5 4 0.0000000
6 1 5 5 -0.0000000
6 1 6 0 0.0044390
6 1 6 1 0.0405626
6 1 6 2 0.0000000
6 1 6 3 -0.0128669
6 1 6 4 0.0496906
6 1 6 5 0.0277789
6 1 6 6 0.0000000
6 2 0 0 -0.2550495
6 2 1 0 0.0061387
6 2 1 1 -0.0121162
6 2 2 0 -0.0000000
6 2 2 1 -0.0000000
6 2 2 2 -0.0469649
6 2 3 0 -0.0014188
6 2 3 1 0.0186108
6 2 3 2 0.0000000
6 2 3 3 -0.1073858
6 2 4 0 -0.0017167
6 2 4 1 0.0277274
6 2 4 2 -0.0000000
6 2 4 3 -0.0650792
6 2 4 4 0.0284613
6 2 5 0 -0.0087569
6 2 5 1 0.0749724
6 2 5 2 -0.0000000
6 2 5 3 0.0226623
6 2 5 4 0.0227708
6 2 5 5 -0.0480765
6 2 6 0 0.0000000
6 2 6 1 0.0000000
6 2 6 2 0.1207385
6 2 6 3 0.0000000
6 2 6 4 0.0000000
6 2 6 5 0.0000000
6 2 6 6 -0.0412892
6 3 0 0 -0.0000000
6 3 1 0 0.0000000
6 3 1 1 -0.0000000
6 3 2 0 0.0071047
6 3 2 1 0.0117214
6 3 2 2 0.0000000
6 3 3 0 -0.0000000
6 3 3 1 -0.0000000
6 3 3 2 -0.0270178
6 3 3 3 -0.0000000
6 3 4 0 0.0000000
6 3 4 1 0.0000000
6 3 4 2 -0.0114551
6 3 4 3 -0.0000000
6 3 4 4 -0.0000000
6 3 5 0 0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0073722
6 3 5 3 -0.0000000
6 3 5 4 0.0000000
6 3 5 5 -0.0000000
6 3 6 0 -0.0095067
6 3 6 1 -0.0128669
6 3 6 2 0.0000000
6 3 6 3 0.0304555
6 3 6 4 0.0066412
6 3 6 5 0.0005018
6 3 6 6 0.0000000
6 4 0 0 -0.0000000
6 4 1 0 0.0000000
6 4 1 1 0.0000000
6 4 2 0 0.0065054
6 4 2 1 0.0828989
6 4 2 2 -0.0000000
6 4 3 0 0.0000000
6 4 3 1 0.0000000
6 4 3 2 -0.0400721
6 4 3 3 -0.0000000
6 4 4 0 0.0000000
6 4 4 1 -0.0000000
6 4 4 2 0.0779155
6 4 4 3 -0.0000000
6 4 4 4 -0.0000000
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 0.0269823
6 4 5 3 0.0000000
6 4 5 4 -0.0000000
6 4 5 5 0.0000000
6 4 6 0 -0.0086671
6 4 6 1 0.0496906
6 4 6 2 0.0000000
6 4 6 3 0.0066412
6 4 6 4 0.1011663
6 4 6 5 0.0658897
6 4 6 6 0.0000000
6 5 0 0 -0.0000000
6 5 1 0 0.0000000
6 5 1 1 0.0000000
6 5 2 0 0.0083781
6 5 2 1 0.0683713
6 5 2 2 -0.0000000
6 5 3 0 0.0000000
6 5 3 1 0.0000000
6 5 3 2 -0.0233066
6 5 3 3 -0.0000000
6 5 4 0 0.0000000
6 5 4 1 0.0000000
6 5 4 2 0.0558908
6 5 4 3 0.0000000
6 5 4 4 -0.0000000
6 5 5 0 -0.0000000
6 5 5 1 0.0000000
6 5 5 2 0.0054551
6 5 5 3 -0.0000000
6 5 5 4 0.0000000
6 5 5 5 -0.0000000
6 5 6 0 -0.0106974
6 5 6 1 0.0277789
6 5 6 2 0.0000000
6 5 6 3 0.0005018
6 5 6 4 0.0658897
6 5 6 5 0.0588663
6 5 6 6 0.0000000
6 6 0 0 0.7075304
6 6 1 0 -0.0052737
6 6 1 1 0.4953294
6 6 2 0 0.0000000
6 6 2 1 0.0000000
6 6 2 2 0.5302638
6 6 3 0 0.0042581
6 6 3 1 -0.0205521
6 6 3 2 -0.0000000
6 6 3 3 0.4897515
6 6 4 0 0.0029362
6 6 4 1 0.0289149
6 6 4 2 0.0000000
6 6 4 3 0.0288367
6 6 4 4 0.4737230
6 6 5 0 0.0061640
6 6 5 1 -0.0568427
6 6 5 2 0.0000000
