NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-21.623220
ENERGIES
-6.545212
-0.177468
0.163687
0.422854
1.132966
1.582892
1.707286
849737.069562
965066.751848
996478.569563
1070620.906354
1118094.512114

OEI
-13.382396	
6 4 4 3 -0.0088204
6 4 4 4 0.0037773
6 4 5 0 -0.0000000
6 4 5 1 -0.0000000
6 4 5 2 0.0213758
6 4 5 3 0.0000000
6 4 5 4 -0.0000000
6 4 5 5 -0.0086556
6 4 6 0 0.0000214
6 4 6 1 -0.0038456
6 4 6 2 -0.0000000
6 4 6 3 0.0035427
6 4 6 4 0.0392948
6 4 6 5 0.0000000
6 4 6 6 0.0057989
6 5 0 0 0.0000000
6 5 1 0 -0.0000000
6 5 1 1 0.0000000
6 5 2 0 -0.0092739
6 5 2 1 0.0700507
6 5 2 2 -0.0000000
6 5 3 0 -0.0000000
6 5 3 1 0.0000000
6 5 3 2 -0.0440448
6 5 3 3 0.0000000
6 5 4 0 -0.0000000
6 5 4 1 -0.0000000
6 5 4 2 0.0440551
6 5 4 3 -0.0000000
6 5 4 4 0.0000000
6 5 5 0 -0.0182107
6 5 5 1 -0.0174917
6 5 5 2 0.0000000
6 5 5 3 0.0044669
6 5 5 4 -0.0410476
6 5 5 5 0.0000000
6 5 6 0 0.0000000
6 5 6 1 0.0000000
6 5 6 2 0.0025734
6 5 6 3 -0.0000000
6 5 6 4 0.0000000
6 5 6 5 0.0566901
6 5 6 6 0.0000000
6 6 0 0 0.9400728
6 6 1 0 0.0044357
6 6 1 1 0.5510023
6 6 2 0 0.0000000
6 6 2 1 -0.0000000
6 6 2 2 0.5102935
6 6 3 0 -0.0297843
6 6 3 1 0.0156821
6 6 3 2 0.0000000
6 6 3 3 0.5292252
6 6 4 0 -0.0297415
6 6 4 1 -0.0216908
6 6 4 2 -0.0000000
6 6 4 3 0.0312206
6 6 4 4 0.5171650
6 6 5 0 0.0000000
6 6 5 1 0.0000000
6 6 5 2 0.0701439
6 6 5 3 0.0000000
6 6 5 4 0.0000000
6 6 5 5 0.5679828
6 6 6 0 0.0037217
6 6 6 1 0.1270482
6 6 6 2 -0.0000000
6 6 6 3 0.0012011
6 6 6 4 0.0057989
6 6 6 5 0.0000000
6 6 6 6 0.7174771
7 0 0 0 0.0828954
7 0 1 0 0.0034425
7 0 1 1 0.0048998
7 0 2 0 -0.0000000
7 0 2 1 -0.0000000
7 0 2 2 0.0011652
7 0 3 0 -0.0042081
7 0 3 1 -0.0033378
7 0 3 2 0.0000000
7 0 3 3 0.0048057
7 0 4 0 -0.0046622
7 0 4 1 -0.0035155
7 0 4 2 0.0000000
7 0 4 3 0.0022388
7 0 4 4 0.0042621
7 0 5 0 0.0000000
7 0 5 1 0.0000000
7 0 5 2 -0.0019888
7 0 5 3 -0.0000000
7 0 5 4 -0.0000000
7 0 5 5 -0.0018907
7 0 6 0 0.0095480
7 0 6 1 0.0045643
7 0 6 2 -0.0000000
7 0 6 3 -0.0075857
7 0 6 4 -0.0069507
7 0 6 5 0.0000000
7 0 6 6 0.0096845
7 0 7 0 0.0118989
7 0 7 1 -0.0003506
7 0 7 2 0.0000000
7 0 7 3 0.0026027
7 0 7 4 0.0014313
7 0 7 5 -0.0000000
7 0 7 6 -0.0040038
7 0 7 7 -0.0065485
7 1 0 0 -0.0078892
7 1 1 0 0.0000274
7 1 1 1 0.0041835
7 1 2 0 -0.0000000
7 1 2 1 0.0000000
7 1 2 2 0.0066570
7 1 3 0 -0.0017023
7 1 3 1 -0.0006220
7 1 3 2 -0.0000000
7 1 3 3 -0.0038880
7 1 4 0 -0.0016522
7 1 4 1 0.0055917
7 1 4 2 0.0000000
7 1 4 3 -0.0080180
7 1 4 4 -0.0028909
7 1 5 0 -0.0000000
7 1 5 1 -0.0000000
7 1 5 2 -0.0046840
7 1 5 3 -0.0000000
7 1 5 4 -0.0000000
7 1 5 5 0.0016971
7 1 6 0 -0.0007090
7 1 6 1 -0.0024536
7 1 6 2 0.0000000
7 1 6 3 0.0036639
7 1 6 4 -0.0008462
7 1 6 5 0.0000000
7 1 6 6 -0.0009577
7 1 7 0 -0.0003506
7 1 7 1 0.0110080
7 1 7 2 -0.0000000
7 1 7 3 0.0090270
7 1 7 4 -0.0074708
7 1 7 5 -0.0000000
7 1 7 6 -0.0014923
7 1 7 7 -0.0059997
7 2 0 0 0.0000000
7 2 1 0 -0.0000000
7 2 1 1 0.0000000
7 2 2 0 -0.0033773
7 2 2 1 0.0186964
7 2 2 2 -0.0000000
7 2 3 0 0.0000000
7 2 3 1 -0.0000000
7 2 3 2 -0.0140226
7 2 3 3 -0.0000000
7 2 4 0 0.0000000
7 2 4 1 0.0000000
7 2 4 2 0.0106445
7 2 4 3 0.0000000
7 2 4 4 0.0000000
7 2 5 0 -0.0070994
7 2 5 1 -0.0026253
7 2 5 2 0.0000000
7 2 5 3 -0.0045671
7 2 5 4 -0.0131965
7 2 5 5 0.0000000
7 2 6 0 0.0000000
7 2 6 1 0.0000000
7 2 6 2 0.0017746
7 2 6 3 0.0000000
7 2 6 4 0.0000000
7 2 6 5 0.0139466
7 2 6 6 -0.0000000
