NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-22.390992
ENERGIES
-6.714161
-0.319964
0.090456
0.306238
1.034157
1.501239
1.586561
849736.814420
965066.535543
996478.245460
1070621.166552
1118093.924732

OEI
-13.416010	
6 0 6 3 -0.0026123
6 0 6 4 0.0002002
6 0 6 5 -0.0000000
6 0 6 6 -0.0040294
6 1 0 0 0.2250537
6 1 1 0 0.0001587
6 1 1 1 0.0236091
6 1 2 0 -0.0000000
6 1 2 1 0.0000000
6 1 2 2 0.0324851
6 1 3 0 -0.0071410
6 1 3 1 0.0183219
6 1 3 2 0.0000000
6 1 3 3 0.0355602
6 1 4 0 -0.0099203
6 1 4 1 -0.0037036
6 1 4 2 -0.0000000
6 1 4 3 0.0591592
6 1 4 4 0.0544066
6 1 5 0 -0.0000000
6 1 5 1 0.0000000
6 1 5 2 0.0602595
6 1 5 3 -0.0000000
6 1 5 4 0.0000000
6 1 5 5 0.0682674
6 1 6 0 -0.0019293
6 1 6 1 0.0782196
6 1 6 2 -0.0000000
6 1 6 3 0.0104513
6 1 6 4 -0.0096218
6 1 6 5 0.0000000
6 1 6 6 0.1251398
6 2 0 0 -0.0000000
6 2 1 0 0.0000000
6 2 1 1 -0.0000000
6 2 2 0 0.0053247
6 2 2 1 -0.0170684
6 2 2 2 -0.0000000
6 2 3 0 0.0000000
6 2 3 1 -0.0000000
6 2 3 2 -0.0194398
6 2 3 3 -0.0000000
6 2 4 0 0.0000000
6 2 4 1 -0.0000000
6 2 4 2 0.0242785
6 2 4 3 -0.0000000
6 2 4 4 -0.0000000
6 2 5 0 0.0078864
6 2 5 1 0.0265957
6 2 5 2 -0.0000000
6 2 5 3 0.0258622
6 2 5 4 -0.0192936
6 2 5 5 -0.0000000
6 2 6 0 0.0000000
6 2 6 1 -0.0000000
6 2 6 2 0.0331200
6 2 6 3 -0.0000000
6 2 6 4 0.0000000
6 2 6 5 -0.0033026
6 2 6 6 -0.0000000
6 3 0 0 0.0660436
6 3 1 0 0.0000665
6 3 1 1 0.0268409
6 3 2 0 -0.0000000
6 3 2 1 0.0000000
6 3 2 2 -0.0040176
6 3 3 0 0.0013725
6 3 3 1 -0.0150988
6 3 3 2 0.0000000
6 3 3 3 0.0264808
6 3 4 0 0.0003160
6 3 4 1 0.0300607
6 3 4 2 -0.0000000
6 3 4 3 0.0092315
6 3 4 4 0.0167386
6 3 5 0 -0.0000000
6 3 5 1 -0.0000000
6 3 5 2 0.0201081
6 3 5 3 -0.0000000
6 3 5 4 0.0000000
6 3 5 5 0.0025856
6 3 6 0 -0.0026123
6 3 6 1 0.0104513
6 3 6 2 -0.0000000
6 3 6 3 0.0349654
6 3 6 4 0.0029097
6 3 6 5 0.0000000
6 3 6 6 0.0251712
6 4 0 0 -0.0296525
6 4 1 0 0.0010943
6 4 1 1 -0.0136675
6 4 2 0 -0.0000000
6 4 2 1 -0.0000000
6 4 2 2 0.0175239
6 4 3 0 0.0046398
6 4 3 1 0.0382957
6 4 3 2 -0.0000000
6 4 3 3 -0.0012475
6 4 4 0 0.0059133
6 4 4 1 -0.0131841
6 4 4 2 0.0000000
6 4 4 3 -0.0039615
6 4 4 4 -0.0086988
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 -0.0289628
6 4 5 3 0.0000000
6 4 5 4 -0.0000000
6 4 5 5 -0.0027626
6 4 6 0 0.0002002
6 4 6 1 -0.0096218
6 4 6 2 0.0000000
6 4 6 3 0.0029097
6 4 6 4 0.0414382
6 4 6 5 -0.0000000
6 4 6 6 -0.0206846
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 0.0000000
6 5 2 0 0.0095636
6 5 2 1 0.0649613
6 5 2 2 -0.0000000
6 5 3 0 -0.0000000
6 5 3 1 -0.0000000
6 5 3 2 0.0638058
6 5 3 3 0.0000000
6 5 4 0 -0.0000000
6 5 4 1 0.0000000
6 5 4 2 -0.0426844
6 5 4 3 -0.0000000
