NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.840658
ENERGIES
-10.875737
-0.834843
-0.400218
-0.242917
0.563620
0.758673
0.844446
849736.619523
965066.344309
996478.025224
1070620.633693
1118094.064857

OEI
-18.427056	
5 3 1 0 0.0037375
5 3 1 1 0.0227262
5 3 2 0 -0.0000000
5 3 2 1 -0.0000000
5 3 2 2 -0.0115949
5 3 3 0 -0.0027465
5 3 3 1 0.0064655
5 3 3 2 0.0000000
5 3 3 3 -0.0218420
5 3 4 0 0.0011533
5 3 4 1 0.0236687
5 3 4 2 0.0000000
5 3 4 3 0.0362295
5 3 4 4 0.0246316
5 3 5 0 -0.0037560
5 3 5 1 0.0268801
5 3 5 2 0.0000000
5 3 5 3 0.0464560
5 3 5 4 0.0106762
5 3 5 5 -0.0025806
5 4 0 0 -0.0009771
5 4 1 0 -0.0015114
5 4 1 1 0.0031588
5 4 2 0 0.0000000
5 4 2 1 0.0000000
5 4 2 2 -0.0256051
5 4 3 0 0.0001191
5 4 3 1 0.0329915
5 4 3 2 0.0000000
5 4 3 3 0.0206711
5 4 4 0 -0.0001710
5 4 4 1 0.0482228
5 4 4 2 -0.0000000
5 4 4 3 0.0196213
5 4 4 4 0.0071891
5 4 5 0 0.0021302
5 4 5 1 0.0148283
5 4 5 2 0.0000000
5 4 5 3 0.0106762
5 4 5 4 0.0549586
5 4 5 5 0.0146464
5 5 0 0 0.8094392
5 5 1 0 0.0003753
5 5 1 1 0.5796013
5 5 2 0 0.0000000
5 5 2 1 -0.0000000
5 5 2 2 0.5067792
5 5 3 0 0.0185583
5 5 3 1 0.0250514
5 5 3 2 0.0000000
5 5 3 3 0.5107164
5 5 4 0 -0.0087126
5 5 4 1 0.0390076
5 5 4 2 0.0000000
5 5 4 3 0.0063302
5 5 4 4 0.4959713
5 5 5 0 -0.0103180
5 5 5 1 -0.1037512
5 5 5 2 0.0000000
5 5 5 3 -0.0025806
5 5 5 4 0.0146464
5 5 5 5 0.6250838
6 0 0 0 0.0000000
6 0 1 0 -0.0000000
6 0 1 1 -0.0000000
6 0 2 0 -0.0130296
6 0 2 1 -0.0138689
6 0 2 2 0.0000000
6 0 3 0 0.0000000
6 0 3 1 0.0000000
6 0 3 2 0.0100222
6 0 3 3 -0.0000000
6 0 4 0 -0.0000000
6 0 4 1 -0.0000000
6 0 4 2 0.0026884
6 0 4 3 -0.0000000
6 0 4 4 -0.0000000
6 0 5 0 0.0000000
6 0 5 1 -0.0000000
6 0 5 2 0.0068191
6 0 5 3 0.0000000
6 0 5 4 -0.0000000
6 0 5 5 0.0000000
6 0 6 0 0.0196226
6 0 6 1 0.0053197
6 0 6 2 -0.0000000
6 0 6 3 -0.0104012
6 0 6 4 0.0088117
6 0 6 5 -0.0108665
6 0 6 6 -0.0000000
6 1 0 0 -0.0000000
6 1 1 0 -0.0000000
6 1 1 1 -0.0000000
6 1 2 0 -0.0039159
6 1 2 1 0.0274867
6 1 2 2 -0.0000000
6 1 3 0 -0.0000000
6 1 3 1 -0.0000000
6 1 3 2 -0.0006930
6 1 3 3 -0.0000000
6 1 4 0 0.0000000
6 1 4 1 0.0000000
6 1 4 2 -0.0451845
6 1 4 3 0.0000000
6 1 4 4 0.0000000
6 1 5 0 -0.0000000
6 1 5 1 0.0000000
6 1 5 2 0.0279662
6 1 5 3 0.0000000
6 1 5 4 0.0000000
6 1 5 5 -0.0000000
6 1 6 0 0.0053197
6 1 6 1 0.0383416
6 1 6 2 0.0000000
6 1 6 3 -0.0120846
6 1 6 4 -0.0450824
6 1 6 5 0.0234710
6 1 6 6 -0.0000000
6 2 0 0 -0.2525647
6 2 1 0 0.0059514
6 2 1 1 -0.0129381
6 2 2 0 0.0000000
6 2 2 1 0.0000000
6 2 2 2 -0.0386188
6 2 3 0 -0.0015535
6 2 3 1 0.0246136
6 2 3 2 -0.0000000
6 2 3 3 -0.1050751
6 2 4 0 0.0017082
6 2 4 1 -0.0298097
6 2 4 2 0.0000000
6 2 4 3 0.0618277
6 2 4 4 0.0307137
6 2 5 0 -0.0084964
6 2 5 1 0.0728928
6 2 5 2 -0.0000000
6 2 5 3 0.0267302
6 2 5 4 -0.0245884
6 2 5 5 -0.0515762
6 2 6 0 -0.0000000
6 2 6 1 0.0000000
6 2 6 2 0.1205677
6 2 6 3 -0.0000000
6 2 6 4 -0.0000000
6 2 6 5 0.0000000
6 2 6 6 -0.0490838
6 3 0 0 0.0000000
6 3 1 0 -0.0000000
6 3 1 1 0.0000000
6 3 2 0 0.0072260
6 3 2 1 0.0168863
6 3 2 2 -0.0000000
6 3 3 0 -0.0000000
6 3 3 1 -0.0000000
6 3 3 2 -0.0281710
6 3 3 3 0.0000000
6 3 4 0 -0.0000000
6 3 4 1 0.0000000
6 3 4 2 0.0067114
6 3 4 3 -0.0000000
6 3 4 4 0.0000000
6 3 5 0 0.0000000
6 3 5 1 -0.0000000
6 3 5 2 -0.0053636
6 3 5 3 -0.0000000
6 3 5 4 0.0000000
6 3 5 5 0.0000000
6 3 6 0 -0.0104012
6 3 6 1 -0.0120846
6 3 6 2 -0.0000000
6 3 6 3 0.0320334
6 3 6 4 -0.0118033
6 3 6 5 0.0033670
6 3 6 6 0.0000000
6 4 0 0 -0.0000000
6 4 1 0 0.0000000
6 4 1 1 0.0000000
6 4 2 0 -0.0061371
6 4 2 1 -0.0832332
6 4 2 2 0.0000000
6 4 3 0 0.0000000
6 4 3 1 0.0000000
6 4 3 2 0.0357178
6 4 3 3 -0.0000000
6 4 4 0 -0.0000000
6 4 4 1 0.0000000
6 4 4 2 0.0816331
6 4 4 3 -0.0000000
6 4 4 4 0.0000000
6 4 5 0 -0.0000000
6 4 5 1 0.0000000
6 4 5 2 -0.0283594
6 4 5 3 0.0000000
6 4 5 4 -0.0000000
6 4 5 5 0.0000000
6 4 6 0 0.0088117
6 4 6 1 -0.0450824
6 4 6 2 -0.0000000
6 4 6 3 -0.0118033
6 4 6 4 0.0981621
6 4 6 5 -0.0619491
6 4 6 6 -0.0000000
6 5 0 0 0.0000000
6 5 1 0 0.0000000
6 5 1 1 0.0000000
6 5 2 0 0.0079304
6 5 2 1 0.0672442
6 5 2 2 -0.0000000
6 5 3 0 0.0000000
6 5 3 1 -0.0000000
6 5 3 2 -0.0196220
6 5 3 3 0.0000000
6 5 4 0 -0.0000000
6 5 4 1 0.0000000
6 5 4 2 -0.0573526
6 5 4 3 0.0000000
6 5 4 4 0.0000000
6 5 5 0 -0.0000000
6 5 5 1 -0.0000000
6 5 5 2 0.0054243
6 5 5 3 0.0000000
6 5 5 4 0.0000000
6 5 5 5 -0.0000000
6 5 6 0 -0.0108665
6 5 6 1 0.0234710
6 5 6 2 0.0000000
6 5 6 3 0.0033670
6 5 6 4 -0.0619491
6 5 6 5 0.0563283
6 5 6 6 0.0000000
6 6 0 0 0.7256140
6 6 1 0 -0.0058058
6 6 1 1 0.4954012
6 6 2 0 0.0000000
6 6 2 1 0.0000000
6 6 2 2 0.5300929
6 6 3 0 0.0044853
