NMONOMER	1
NELEC	8
ENUC	7.676927
NBASIS	12
HOMO	2
LUMO	2
ENT	5
HF_ENERGY	-35.432467
ENERGIES
-10.812319
-0.808184
-0.370614
-0.213700
0.581177
0.792493
0.878333
849736.642871
965066.351881
996478.016141
1070620.638239
1118094.091399

OEI
-18.326648	
6 4 5 5 0.0000000
6 4 6 0 -0.0088225
6 4 6 1 0.0435502
6 4 6 2 0.0000000
6 4 6 3 0.0114424
6 4 6 4 0.0947838
6 4 6 5 0.0613474
6 4 6 6 0.0000000
6 5 0 0 -0.0000000
6 5 1 0 0.0000000
6 5 1 1 -0.0000000
6 5 2 0 0.0079443
6 5 2 1 0.0683086
6 5 2 2 -0.0000000
6 5 3 0 -0.0000000
6 5 3 1 -0.0000000
6 5 3 2 -0.0214022
6 5 3 3 -0.0000000
6 5 4 0 0.0000000
6 5 4 1 0.0000000
6 5 4 2 0.0587358
6 5 4 3 0.0000000
6 5 4 4 -0.0000000
6 5 5 0 0.0000000
6 5 5 1 0.0000000
6 5 5 2 0.0067864
6 5 5 3 -0.0000000
6 5 5 4 0.0000000
6 5 5 5 -0.0000000
6 5 6 0 -0.0111202
6 5 6 1 0.0235840
6 5 6 2 0.0000000
6 5 6 3 0.0029603
6 5 6 4 0.0613474
6 5 6 5 0.0581539
6 5 6 6 0.0000000
6 6 0 0 0.7307886
6 6 1 0 -0.0058559
6 6 1 1 0.4936669
6 6 2 0 0.0000000
6 6 2 1 0.0000000
6 6 2 2 0.5298303
6 6 3 0 0.0046131
6 6 3 1 -0.0267906
6 6 3 2 -0.0000000
6 6 3 3 0.4955499
6 6 4 0 0.0030211
6 6 4 1 0.0268518
6 6 4 2 0.0000000
6 6 4 3 0.0367334
6 6 4 4 0.4727416
6 6 5 0 0.0069109
6 6 5 1 -0.0619733
6 6 5 2 0.0000000
6 6 5 3 -0.0202692
6 6 5 4 0.0249520
6 6 5 5 0.5186774
6 6 6 0 -0.0000000
6 6 6 1 0.0000000
6 6 6 2 -0.0512780
6 6 6 3 0.0000000
6 6 6 4 0.0000000
6 6 6 5 0.0000000
6 6 6 6 0.5582906
7 0 0 0 0.0850668
7 0 1 0 -0.0036636
7 0 1 1 0.0067375
7 0 2 0 -0.0000000
7 0 2 1 0.0000000
7 0 2 2 0.0006935
7 0 3 0 0.0036440
7 0 3 1 -0.0050571
7 0 3 2 -0.0000000
7 0 3 3 0.0051406
7 0 4 0 0.0025264
7 0 4 1 -0.0028083
7 0 4 2 -0.0000000
7 0 4 3 0.0017998
7 0 4 4 0.0027493
7 0 5 0 0.0056902
7 0 5 1 -0.0045888
7 0 5 2 -0.0000000
7 0 5 3 0.0061478
7 0 5 4 0.0031100
7 0 5 5 0.0052739
7 0 6 0 0.0000000
7 0 6 1 0.0000000
7 0 6 2 0.0016599
7 0 6 3 -0.0000000
7 0 6 4 0.0000000
7 0 6 5 -0.0000000
7 0 6 6 -0.0007018
7 0 7 0 0.0112610
7 0 7 1 0.0014370
7 0 7 2 0.0000000
7 0 7 3 -0.0027554
7 0 7 4 -0.0010590
7 0 7 5 -0.0032247
7 0 7 6 0.0000000
7 0 7 7 -0.0059802
7 1 0 0 0.0068878
7 1 1 0 0.0008257
7 1 1 1 0.0003050
7 1 2 0 0.0000000
7 1 2 1 0.0000000
7 1 2 2 -0.0055563
7 1 3 0 -0.0029544
7 1 3 1 -0.0065979
7 1 3 2 -0.0000000
7 1 3 3 0.0107668
7 1 4 0 -0.0015298
7 1 4 1 -0.0068059
7 1 4 2 -0.0000000
7 1 4 3 0.0067604
7 1 4 4 -0.0010240
7 1 5 0 0.0004342
7 1 5 1 -0.0030580
7 1 5 2 -0.0000000
7 1 5 3 0.0053001
7 1 5 4 -0.0014152
7 1 5 5 -0.0004330
7 1 6 0 0.0000000
7 1 6 1 -0.0000000
7 1 6 2 -0.0028218
7 1 6 3 -0.0000000
7 1 6 4 -0.0000000
7 1 6 5 -0.0000000
7 1 6 6 -0.0044031
7 1 7 0 0.0014370
7 1 7 1 0.0107606
7 1 7 2 0.0000000
7 1 7 3 0.0051461
7 1 7 4 -0.0074088
7 1 7 5 -0.0006491
7 1 7 6 -0.0000000
7 1 7 7 0.0025309
7 2 0 0 -0.0000000
7 2 1 0 0.0000000
7 2 1 1 0.0000000
7 2 2 0 -0.0045645
7 2 2 1 -0.0212331
7 2 2 2 0.0000000
7 2 3 0 -0.0000000
7 2 3 1 -0.0000000
7 2 3 2 0.0121718
7 2 3 3 0.0000000
7 2 4 0 -0.0000000
7 2 4 1 -0.0000000
7 2 4 2 -0.0135796
7 2 4 3 0.0000000
7 2 4 4 0.0000000
7 2 5 0 -0.0000000
7 2 5 1 0.0000000
7 2 5 2 0.0019281
7 2 5 3 0.0000000
7 2 5 4 0.0000000
7 2 5 5 -0.0000000
7 2 6 0 0.0068368
7 2 6 1 -0.0005540
7 2 6 2 0.0000000
7 2 6 3 -0.0100786
7 2 6 4 -0.0161224
7 2 6 5 -0.0143309
7 2 6 6 -0.0000000
7 2 7 0 0.0000000
7 2 7 1 0.0000000
7 2 7 2 0.0172763
7 2 7 3 0.0000000
7 2 7 4 0.0000000
7 2 7 5 -0.0000000
7 2 7 6 -0.0157682
7 2 7 7 -0.0000000
7 3 0 0 0.0082584
7 3 1 0 -0.0041699
7 3 1 1 -0.0265944
7 3 2 0 -0.0000000
7 3 2 1 -0.0000000
7 3 2 2 -0.0013360
7 3 3 0 -0.0015797
7 3 3 1 -0.0026818
7 3 3 2 -0.0000000
7 3 3 3 0.0068660
7 3 4 0 -0.0007153
7 3 4 1 0.0084793
7 3 4 2 0.0000000
7 3 4 3 0.0180649
7 3 4 4 -0.0127012
7 3 5 0 0.0079364
7 3 5 1 0.0035567
7 3 5 2 0.0000000
7 3 5 3 -0.0180753
7 3 5 4 -0.0031227
7 3 5 5 -0.0205342
7 3 6 0 -0.0000000
7 3 6 1 -0.0000000
7 3 6 2 -0.0155017
7 3 6 3 0.0000000
7 3 6 4 -0.0000000
7 3 6 5 0.0000000
7 3 6 6 0.0060265
7 3 7 0 -0.0027554
7 3 7 1 0.0051461
7 3 7 2 0.0000000
7 3 7 3 0.0264320
7 3 7 4 -0.0013847
7 3 7 5 0.0001131
7 3 7 6 -0.0000000
7 3 7 7 -0.0045348
7 4 0 0 0.0063043
7 4 1 0 -0.0019952
7 4 1 1 -0.0084938
7 4 2 0 -0.0000000
7 4 2 1 -0.0000000
7 4 2 2 -0.0049515
7 4 3 0 -0.0009920
7 4 3 1 -0.0017510
7 4 3 2 0.0000000
7 4 3 3 0.0074292
7 4 4 0 -0.0003971
7 4 4 1 -0.0011363
7 4 4 2 -0.0000000
7 4 4 3 0.0061330
7 4 4 4 -0.0032261
7 4 5 0 0.0040795
7 4 5 1 0.0023311
7 4 5 2 0.0000000
7 4 5 3 -0.0040642
7 4 5 4 -0.0046565
7 4 5 5 -0.0076135
7 4 6 0 0.0000000
7 4 6 1 0.0000000
7 4 6 2 -0.0060363
7 4 6 3 -0.0000000
7 4 6 4 -0.0000000
7 4 6 5 -0.0000000
7 4 6 6 0.0001154
7 4 7 0 -0.0010590
7 4 7 1 -0.0074088
7 4 7 2 0.0000000
7 4 7 3 -0.0013847
7 4 7 4 0.0212893
7 4 7 5 -0.0158974
7 4 7 6 -0.0000000
7 4 7 7 0.0031603
7 5 0 0 0.0111200
7 5 1 0 -0.0013000
7 5 1 1 0.0034110
7 5 2 0 -0.0000000
7 5 2 1 0.0000000
7 5 2 2 0.0043855
7 5 3 0 0.0076833
7 5 3 1 0.0188739
7 5 3 2 0.0000000
7 5 3 3 -0.0160721
7 5 4 0 0.0038950
7 5 4 1 -0.0000132
7 5 4 2 0.0000000
7 5 4 3 -0.0146834
7 5 4 4 -0.0005990
7 5 5 0 -0.0029094
7 5 5 1 -0.0013681
7 5 5 2 -0.0000000
7 5 5 3 -0.0073696
7 5 5 4 -0.0066493
7 5 5 5 0.0153768
7 5 6 0 0.0000000
7 5 6 1 0.0000000
7 5 6 2 -0.0034399
7 5 6 3 -0.0000000
7 5 6 4 0.0000000
7 5 6 5 -0.0000000
7 5 6 6 0.0020863
7 5 7 0 -0.0032247
7 5 7 1 -0.0006491
7 5 7 2 -0.0000000
7 5 7 3 0.0001131
7 5 7 4 -0.0158974
7 5 7 5 0.0286525
7 5 7 6 -0.0000000
7 5 7 7 0.0192061
7 6 0 0 0.0000000
7 6 1 0 0.0000000
7 6 1 1 -0.0000000
7 6 2 0 0.0054436
7 6 2 1 0.0125500
7 6 2 2 -0.0000000
7 6 3 0 -0.0000000
7 6 3 1 -0.0000000
7 6 3 2 -0.0118262
7 6 3 3 0.0000000
7 6 4 0 0.0000000
7 6 4 1 0.0000000
7 6 4 2 0.0023635
7 6 4 3 0.0000000
7 6 4 4 -0.0000000
7 6 5 0 0.0000000
7 6 5 1 -0.0000000
7 6 5 2 -0.0057549
7 6 5 3 0.0000000
7 6 5 4 -0.0000000
7 6 5 5 -0.0000000
7 6 6 0 -0.0082182
7 6 6 1 -0.0058402
7 6 6 2 -0.0000000
7 6 6 3 0.0130539
7 6 6 4 0.0071337
7 6 6 5 0.0076271
7 6 6 6 0.0000000
7 6 7 0 0.0000000
7 6 7 1 -0.0000000
7 6 7 2 -0.0157682
7 6 7 3 -0.0000000
7 6 7 4 -0.0000000
7 6 7 5 -0.0000000
7 6 7 6 0.0208303
7 6 7 7 -0.0000000
7 7 0 0 0.5615189
7 7 1 0 -0.0064940
7 7 1 1 0.4363877
7 7 2 0 -0.0000000
7 7 2 1 0.0000000
7 7 2 2 0.4004980
7 7 3 0 0.0085667
7 7 3 1 0.0420900
7 7 3 2 0.0000000
7 7 3 3 0.4252895
7 7 4 0 0.0046568
7 7 4 1 -0.0487862
7 7 4 2 0.0000000
7 7 4 3 -0.0213822
7 7 4 4 0.4208673
7 7 5 0 0.0051644
7 7 5 1 -0.0206652
7 7 5 2 -0.0000000
7 7 5 3 0.0077553
7 7 5 4 -0.0548299
7 7 5 5 0.4682340
7 7 6 0 0.0000000
7 7 6 1 -0.0000000
7 7 6 2 -0.0460422
7 7 6 3 -0.0000000
7 7 6 4 -0.0000000
7 7 6 5 -0.0000000
7 7 6 6 0.4149999
7 7 7 0 -0.0059802
7 7 7 1 0.0025309
7 7 7 2 -0.0000000
7 7 7 3 -0.0045348
7 7 7 4 0.0031603
7 7 7 5 0.0192061
7 7 7 6 -0.0000000
7 7 7 7 0.5146545
8 0 0 0 -0.0000000
8 0 1 0 0.0000000
8 0 1 1 -0.0000000
8 0 2 0 0.0002348
8 0 2 1 0.0002963
8 0 2 2 -0.0000000
8 0 3 0 0.0000000
8 0 3 1 0.0000000
8 0 3 2 -0.0001857
8 0 3 3 -0.0000000
8 0 4 0 0.0000000
8 0 4 1 -0.0000000
8 0 4 2 -0.0000544
8 0 4 3 -0.0000000
8 0 4 4 -0.0000000
8 0 5 0 -0.0000000
8 0 5 1 0.0000000
8 0 5 2 -0.0002944
8 0 5 3 0.0000000
8 0 5 4 -0.0000000
8 0 5 5 0.0000000
8 0 6 0 -0.0003491
8 0 6 1 -0.0002537
8 0 6 2 -0.0000000
8 0 6 3 0.0002112
8 0 6 4 0.0000160
8 0 6 5 0.0002148
8 0 6 6 -0.0000000
8 0 7 0 -0.0000000
8 0 7 1 0.0000000
